This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	8.000122
0.550000	11.000168
1.100000	14.000214
1.650000	19.000290
2.200000	23.000351
2.750000	26.000397
3.300000	29.000443
3.850000	29.000443
4.400000	29.000443
4.950000	24.000366
5.500000	22.000336
6.050000	22.000336
6.600000	22.000336
7.150000	22.000336
7.700000	22.000336
8.250000	23.000351
8.800000	28.000427
9.350000	32.000488
9.900000	37.000565
10.450000	39.000595
11.000000	39.000595
11.550000	49.000748
12.100000	57.000870
12.650000	73.001114
13.200000	81.001236
13.750000	98.001495
14.300000	105.001602
14.850000	120.001831
15.400000	134.002045
15.950000	134.002045
16.500000	151.002304
17.050000	150.002289
17.600000	150.002289
18.150000	150.002289
18.700000	165.002518
19.250000	169.002579
19.800000	169.002579
20.350000	189.002884
20.900000	213.003250
21.450000	221.003372
22.000000	229.003494
22.550000	232.003540
23.100000	232.003540
23.650000	239.003647
24.200000	240.003662
24.750000	242.003693
25.300000	242.003693
25.850000	243.003708
26.400000	251.003830
26.950000	247.003769
27.500000	238.003632
28.050000	244.003723
28.600000	244.003723
29.150000	248.003784
29.700000	247.003769
30.250000	249.003799
30.800000	262.003998
31.350000	286.004364
31.900000	318.004852
32.450000	318.004852
