This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	10.999649
0.550000	10.999649
1.100000	10.999649
1.650000	10.999649
2.200000	10.999649
2.750000	13.999847
3.300000	13.999847
3.850000	13.999847
4.400000	10.999649
4.950000	10.999649
5.500000	10.999649
6.050000	10.999649
6.600000	4.999252
7.150000	1.999054
7.700000	1.999054
8.250000	1.999054
8.800000	1.999054
9.350000	3.001144
9.900000	3.001144
10.450000	3.001144
11.000000	3.001144
11.550000	3.001144
12.100000	3.001144
12.650000	6.001343
13.200000	6.001343
13.750000	6.001343
14.300000	3.001144
14.850000	3.001144
15.400000	3.001144
15.950000	3.001144
16.500000	8.998505
17.050000	6.001343
17.600000	6.001343
18.150000	6.001343
18.700000	3.001144
19.250000	3.001144
19.800000	3.001144
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	10.999649
23.100000	10.999649
23.650000	10.999649
24.200000	10.999649
24.750000	10.999649
25.300000	10.999649
25.850000	10.999649
26.400000	10.999649
26.950000	10.999649
27.500000	10.999649
28.050000	10.999649
28.600000	4.000198
29.150000	4.000198
29.700000	4.000198
30.250000	4.000198
30.800000	4.000198
31.350000	4.000198
31.900000	4.000198
32.450000	4.000198
