This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y:
Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	0.086111
0.550000	0.501614
1.100000	0.937902
1.650000	1.386389
2.200000	1.748516
2.750000	2.114974
3.300000	2.354874
3.850000	2.494907
4.400000	2.430778
4.950000	2.420228
5.500000	2.343811
6.050000	1.990115
6.600000	1.777471
7.150000	1.883468
7.700000	1.611582
8.250000	1.566844
8.800000	1.734052
9.350000	2.115477
9.900000	2.684130
10.450000	3.077044
11.000000	3.576115
11.550000	4.121150
12.100000	4.549276
12.650000	5.005539
13.200000	5.507050
13.750000	6.018952
14.300000	6.542497
14.850000	6.962035
15.400000	7.364257
15.950000	7.806568
16.500000	8.062705
17.050000	8.406242
17.600000	8.844181
18.150000	9.171737
18.700000	9.644813
19.250000	10.161804
19.800000	10.355999
20.350000	10.528729
20.900000	11.148015
21.450000	11.691046
22.000000	12.185244
22.550000	11.180753
23.100000	11.771410
23.650000	12.242437
24.200000	12.592710
24.750000	13.384634
25.300000	13.826442
25.850000	13.724618
26.400000	14.950615
26.950000	15.382798
27.500000	14.678206
28.050000	16.123357
28.600000	16.652752
29.150000	16.525785
29.700000	17.516607
30.250000	17.798766
30.800000	17.037534
31.350000	18.115375
31.900000	18.589327
32.450000	18.642728
33.000000	18.819342
33.550000	18.561888
34.100000	19.119284
34.650000	19.220099
35.200000	19.754769
35.750000	19.892652
36.300000	20.243096
36.850000	20.579138
37.400000	20.882808
37.950000	21.558109
38.500000	22.150360
39.050000	22.628221
39.600000	23.090224
40.150000	23.527598
40.700000	24.116845
41.250000	24.358561
41.800000	23.366212
42.350000	25.410952
42.900000	25.769690
43.450000	26.058016
44.000000	26.433475
44.550000	26.842838
45.100000	27.195541
45.650000	25.806623
46.200000	27.914434
46.750000	28.304379
47.300000	28.586470
47.850000	26.644342
48.400000	29.490863
48.950000	28.590559
49.500000	28.810372
