This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y:
Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	-0.094772
0.550000	-0.487565
1.100000	-0.976814
1.650000	-1.320060
2.200000	-1.669445
2.750000	-2.077178
3.300000	-2.493359
3.850000	-2.853082
4.400000	-2.445434
4.950000	-2.750428
5.500000	-2.770794
6.050000	-1.995706
6.600000	-2.394950
7.150000	-2.062119
7.700000	-1.650095
8.250000	-1.559887
8.800000	-1.661998
9.350000	-2.270118
9.900000	-2.793296
10.450000	-3.099106
11.000000	-3.623852
11.550000	-4.043748
12.100000	-4.584859
12.650000	-5.047598
13.200000	-5.496742
13.750000	-5.867427
14.300000	-6.441811
14.850000	-6.914720
15.400000	-7.385410
15.950000	-7.952552
16.500000	-8.429856
17.050000	-8.870629
17.600000	-9.404632
18.150000	-9.865894
18.700000	-10.406696
19.250000	-10.921634
19.800000	-11.378319
20.350000	-11.776541
20.900000	-12.115634
21.450000	-12.165635
22.000000	-12.594660
22.550000	-13.075891
23.100000	-13.527217
23.650000	-13.767589
24.200000	-14.381465
24.750000	-14.597419
25.300000	-15.051033
25.850000	-15.380880
26.400000	-16.011520
26.950000	-16.555922
27.500000	-17.460775
28.050000	-17.973693
28.600000	-18.413658
29.150000	-18.414991
29.700000	-19.580676
30.250000	-19.848246
30.800000	-20.161756
31.350000	-20.391668
31.900000	-20.799955
32.450000	-21.252354
33.000000	-21.250332
33.550000	-22.329925
34.100000	-22.488368
34.650000	-22.794413
35.200000	-23.114590
35.750000	-23.447151
36.300000	-23.724249
36.850000	-24.086996
37.400000	-24.492788
37.950000	-24.967727
38.500000	-25.246806
39.050000	-25.722375
39.600000	-26.072934
40.150000	-26.172883
40.700000	-26.572408
41.250000	-27.001843
41.800000	-27.439940
42.350000	-27.632434
42.900000	-27.681795
43.450000	-27.605594
44.000000	-27.480967
44.550000	-27.914277
45.100000	-28.454058
45.650000	-28.962565
46.200000	-29.063973
46.750000	-28.997943
47.300000	-28.166337
47.850000	-26.616765
48.400000	-29.052989
48.950000	-31.237778
49.500000	-32.095525
50.050000	-32.135984
50.600000	-32.279602
51.150000	-32.555529
51.700000	-32.820825
52.250000	-33.102230
52.800000	-33.231224
53.350000	-33.883057
53.900000	-34.258197
54.450000	-34.320288
55.000000	-34.991234
55.550000	-35.468750
56.100000	-35.957430
56.650000	-36.189242
57.200000	-36.712496
57.750000	-36.584697
58.300000	-36.416937
58.850000	-36.149906
59.400000	-35.865017
59.950000	-35.456734
60.500000	-35.622686
61.050000	-35.946075
61.600000	-34.212770
62.150000	-40.559533
62.700000	-41.014028
63.250000	-41.512006
63.800000	-42.028736
64.350000	-42.448797
64.900000	-43.011763
65.450000	-42.382202
66.000000	-40.895007
66.550000	-44.616190
67.100000	-45.083532
67.650000	-45.488588
68.200000	-45.765341
68.750000	-45.956216
69.300000	-46.184081
69.850000	-46.427683
70.400000	-37.844797
70.950000	-38.251793
71.500000	-38.841187
72.050000	-39.150925
72.600000	-39.564014
73.150000	-40.093692
73.700000	-40.587669
74.250000	-41.048273
74.800000	-41.543248
75.350000	-42.142178
75.900000	-42.619538
76.450000	-43.096781
77.000000	-43.702891
77.550000	-44.040634
78.100000	-44.700303
78.650000	-45.264623
79.200000	-45.773888
79.750000	-46.253978
80.300000	-46.875684
80.850000	-47.469214
81.400000	-41.744141
81.950000	-48.563843
82.500000	-49.158012
83.050000	-49.616625
83.600000	-49.713810
84.150000	-50.872067
84.700000	-51.206159
85.250000	-51.956117
85.800000	-52.302250
86.350000	-52.896458
86.900000	-53.323946
87.450000	-54.013737
88.000000	-54.529316
88.550000	-55.028633
89.100000	-55.688598
89.650000	-56.144412
90.200000	-56.725349
90.750000	-57.284160
91.300000	-50.838480
91.850000	-58.423620
92.400000	-58.864635
92.950000	-59.418157
93.500000	-60.046098
94.050000	-58.031891
94.600000	-61.023279
95.150000	-61.624246
95.700000	-62.041319
96.250000	-59.554885
96.800000	-59.901451
97.350000	-62.812713
97.900000	-63.215298
98.450000	-63.581920
99.000000	-61.157095
99.550000	-61.495539
100.100000	-61.907917
100.650000	-62.373934
101.200000	-62.871408
101.750000	-63.225901
102.300000	-63.808406
102.850000	-64.270432
103.400000	-64.893427
103.950000	-65.499547
104.500000	-66.051696
105.050000	-66.455029
105.600000	-67.061703
106.150000	-67.377777
106.700000	-67.622099
107.250000	-67.846253
107.800000	-68.001299
108.350000	-68.154195
108.900000	-68.295958
109.450000	-68.429153
110.000000	-68.680199
110.550000	-68.964188
111.100000	-69.264353
111.650000	-69.628268
112.200000	-70.075987
