This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	44.482964
0.550000	45.688618
1.100000	46.355209
1.650000	47.355873
2.200000	47.186382
2.750000	46.630035
3.300000	44.150368
3.850000	43.886364
4.400000	40.208282
4.950000	36.193401
5.500000	30.134686
6.050000	29.956087
6.600000	29.918095
7.150000	34.430077
7.700000	36.473446
8.250000	40.657814
8.800000	42.059742
9.350000	53.625889
9.900000	58.545906
10.450000	61.991512
11.000000	59.674797
11.550000	58.070972
12.100000	55.988831
12.650000	28.518208
13.200000	23.817713
13.750000	23.184248
14.300000	24.652338
14.850000	32.623398
15.400000	33.922688
15.950000	42.461533
16.500000	49.425480
17.050000	49.381691
17.600000	49.308712
18.150000	49.119629
18.700000	48.209576
19.250000	45.942154
19.800000	45.888054
20.350000	45.806694
20.900000	44.904655
21.450000	40.433624
22.000000	37.333099
22.550000	34.841225
23.100000	30.106207
23.650000	28.312073
24.200000	28.272240
24.750000	28.279846
25.300000	28.325624
25.850000	28.652740
26.400000	28.794653
26.950000	28.976160
27.500000	28.805424
28.050000	31.441219
28.600000	33.369640
29.150000	34.774464
29.700000	34.796120
30.250000	34.763145
30.800000	34.549828
31.350000	34.329685
31.900000	41.243004
32.450000	41.243004
