This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	7.228981
0.550000	6.453755
1.100000	5.678143
1.650000	8.234991
2.200000	8.234991
2.750000	9.959616
3.300000	10.459608
3.850000	10.510627
4.400000	10.510627
4.950000	10.510627
5.500000	11.536236
6.050000	13.633220
6.600000	15.526083
7.150000	17.036222
7.700000	16.781130
8.250000	17.632812
8.800000	14.397802
9.350000	13.418160
9.900000	8.423123
10.450000	8.310923
11.000000	7.831289
11.550000	7.858410
12.100000	7.905447
12.650000	10.766958
13.200000	9.409541
13.750000	10.332398
14.300000	7.375168
14.850000	3.478449
15.400000	3.001144
15.950000	3.001144
16.500000	3.001144
17.050000	3.001144
17.600000	3.001144
18.150000	3.001144
18.700000	3.001144
19.250000	3.001144
19.800000	3.001144
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	3.001144
23.100000	3.001144
23.650000	3.001144
24.200000	3.001144
24.750000	3.447690
25.300000	3.434585
25.850000	3.369033
26.400000	3.001144
26.950000	2.915479
27.500000	2.953273
28.050000	3.001144
28.600000	3.001144
29.150000	3.001144
29.700000	3.823716
30.250000	3.799983
30.800000	3.846264
31.350000	3.818276
31.900000	2.889801
32.450000	2.889801
