This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	30.433203
0.550000	21.518873
1.100000	12.748009
1.650000	8.587164
2.200000	7.969735
2.750000	6.734954
3.300000	6.449185
3.850000	6.581852
4.400000	7.699195
4.950000	12.954547
5.500000	14.061711
6.050000	27.193451
6.600000	28.065973
7.150000	28.877251
7.700000	25.760017
8.250000	24.295786
8.800000	19.923399
9.350000	19.045872
9.900000	18.958986
10.450000	18.785559
11.000000	18.017706
11.550000	16.697771
12.100000	16.637850
12.650000	18.430868
13.200000	18.295523
13.750000	17.250771
14.300000	16.312880
14.850000	14.114136
15.400000	15.055923
15.950000	11.565582
16.500000	8.399419
17.050000	8.044340
17.600000	8.087909
18.150000	8.261658
18.700000	8.455222
19.250000	8.818790
19.800000	9.182359
20.350000	18.450800
20.900000	19.106033
21.450000	19.106033
22.000000	6.951051
22.550000	8.350942
23.100000	8.350942
23.650000	8.751019
24.200000	8.589272
24.750000	8.448234
25.300000	8.934735
25.850000	8.144146
26.400000	8.437865
26.950000	8.362249
27.500000	9.702469
28.050000	9.937775
28.600000	9.937775
29.150000	5.938712
29.700000	2.528679
30.250000	2.399283
30.800000	2.152988
31.350000	2.180976
31.900000	25.611277
32.450000	25.611277
