This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	41.475288
0.550000	41.780476
1.100000	43.397984
1.650000	48.326797
2.200000	48.326797
2.750000	48.326797
3.300000	43.916805
3.850000	40.986984
4.400000	40.986984
4.950000	40.986984
5.500000	34.974747
6.050000	34.974747
6.600000	35.554607
7.150000	77.792870
7.700000	77.792870
8.250000	77.792870
8.800000	77.792870
9.350000	133.718887
9.900000	143.729111
10.450000	149.222534
11.000000	149.222534
11.550000	149.222534
12.100000	149.222534
12.650000	44.679779
13.200000	26.353134
13.750000	22.965528
14.300000	22.965528
14.850000	29.801779
15.400000	29.801779
15.950000	35.585125
16.500000	38.423389
17.050000	38.423389
17.600000	38.423389
18.150000	38.240276
18.700000	37.813011
19.250000	31.922848
19.800000	28.657318
20.350000	25.483345
20.900000	24.369402
21.450000	24.369402
22.000000	24.369402
22.550000	22.843452
23.100000	21.897366
23.650000	21.241207
24.200000	21.241207
24.750000	20.524012
25.300000	19.547403
25.850000	19.547403
26.400000	19.547403
26.950000	19.547403
27.500000	26.749882
28.050000	29.023546
28.600000	29.023546
29.150000	29.023546
29.700000	31.892328
30.250000	31.342987
30.800000	31.342987
31.350000	31.342987
31.900000	26.749882
32.450000	26.749882
