This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	37.342484
0.550000	27.804403
1.100000	18.108419
1.650000	18.090199
2.200000	17.557268
2.750000	17.555750
3.300000	17.526903
3.850000	18.366533
4.400000	19.083179
4.950000	19.083179
5.500000	19.092289
6.050000	19.696581
6.600000	19.736057
7.150000	20.080715
7.700000	20.080715
8.250000	20.080715
8.800000	18.588207
9.350000	18.571507
9.900000	18.571507
10.450000	18.576061
11.000000	18.588207
11.550000	18.509254
12.100000	18.513809
12.650000	16.143713
13.200000	15.396701
13.750000	14.506966
14.300000	14.437123
14.850000	14.437123
15.400000	15.080891
15.950000	15.159843
16.500000	17.291563
17.050000	18.740040
17.600000	18.743076
18.150000	18.743076
18.700000	18.961714
19.250000	18.917683
19.800000	18.844803
20.350000	19.051294
20.900000	19.071033
21.450000	19.071033
22.000000	19.104435
22.550000	19.573597
23.100000	19.573597
23.650000	19.610035
24.200000	19.635847
24.750000	30.986801
25.300000	30.986801
25.850000	31.097637
26.400000	31.061199
26.950000	32.395802
27.500000	32.380619
28.050000	32.353287
28.600000	18.342239
29.150000	18.342239
29.700000	18.348312
30.250000	20.376787
30.800000	21.895105
31.350000	21.949766
31.900000	21.971022
32.450000	21.971022
