This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	24.766148
0.550000	24.766148
1.100000	24.766148
1.650000	24.766148
2.200000	19.562664
2.750000	19.562664
3.300000	19.562664
3.850000	23.133383
4.400000	22.492485
4.950000	20.997055
5.500000	20.997055
6.050000	20.997055
6.600000	21.088612
7.150000	22.996048
7.700000	22.996048
8.250000	22.996048
8.800000	22.996048
9.350000	22.996048
9.900000	22.996048
10.450000	22.996048
11.000000	22.996048
11.550000	21.363283
12.100000	19.822075
12.650000	18.799688
13.200000	16.236095
13.750000	16.236095
14.300000	19.440588
14.850000	20.661346
15.400000	20.661346
15.950000	20.981796
16.500000	20.981796
17.050000	20.981796
17.600000	20.539270
18.150000	20.539270
18.700000	19.104879
19.250000	17.945158
19.800000	17.945158
20.350000	17.945158
20.900000	18.738651
21.450000	18.738651
22.000000	19.638960
22.550000	19.486366
23.100000	17.075367
23.650000	17.075367
24.200000	17.075367
24.750000	17.075367
25.300000	14.053988
25.850000	13.626722
26.400000	13.626722
26.950000	13.626722
27.500000	14.359178
28.050000	16.129278
28.600000	17.578930
29.150000	20.920757
29.700000	26.139502
30.250000	26.139502
30.800000	26.139502
31.350000	26.139502
31.900000	25.819054
32.450000	25.819054
