This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z:
Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	3.669016
0.550000	3.357914
1.100000	3.487640
1.650000	3.745067
2.200000	4.491155
2.750000	4.614851
3.300000	4.225407
3.850000	3.979463
4.400000	4.197423
4.950000	4.390860
5.500000	3.425190
6.050000	3.243626
6.600000	2.946205
7.150000	3.043903
7.700000	2.717788
8.250000	2.337069
8.800000	2.611948
9.350000	3.181901
9.900000	3.503029
10.450000	3.445565
11.000000	5.386375
11.550000	3.966791
12.100000	3.473166
12.650000	3.187650
13.200000	2.718170
13.750000	2.457540
14.300000	2.545195
14.850000	1.686724
15.400000	1.661760
15.950000	1.540672
16.500000	1.818337
17.050000	1.595585
17.600000	2.033330
18.150000	2.066834
18.700000	2.063982
19.250000	2.160077
19.800000	2.188244
20.350000	2.171622
20.900000	2.526392
21.450000	2.039281
22.000000	1.958744
22.550000	2.054909
23.100000	1.938616
23.650000	1.645359
24.200000	2.177282
24.750000	2.226336
25.300000	2.263030
25.850000	1.860998
26.400000	1.908626
26.950000	1.988773
27.500000	1.898772
28.050000	1.680771
28.600000	1.828956
29.150000	1.791143
29.700000	1.915233
30.250000	1.927253
30.800000	1.885512
31.350000	2.145890
31.900000	2.508644
32.450000	2.723601
33.000000	2.630472
33.550000	2.664210
34.100000	2.582151
34.650000	2.747041
35.200000	4.133230
35.750000	4.579402
36.300000	4.187900
36.850000	3.814780
37.400000	2.963469
37.950000	2.395235
38.500000	2.593119
39.050000	2.619991
39.600000	1.799939
40.150000	2.115602
40.700000	1.748379
41.250000	1.799807
41.800000	2.176001
42.350000	1.918465
42.900000	2.197199
43.450000	2.082726
44.000000	2.401946
44.550000	2.257751
45.100000	2.163657
45.650000	2.498173
46.200000	2.263331
46.750000	2.157956
47.300000	2.191873
47.850000	1.786209
48.400000	2.157742
48.950000	2.325827
49.500000	2.236459
50.050000	1.773820
50.600000	1.796583
51.150000	2.246518
51.700000	2.148251
52.250000	2.068529
52.800000	2.502967
53.350000	2.370169
53.900000	2.547367
54.450000	2.107160
55.000000	2.115977
55.550000	1.962310
56.100000	2.024713
56.650000	1.909879
57.200000	1.754463
57.750000	1.728758
58.300000	1.700969
58.850000	1.727181
59.400000	1.815266
59.950000	1.742298
60.500000	1.796923
61.050000	1.818398
61.600000	1.644797
62.150000	1.854089
62.700000	2.079271
63.250000	2.176657
63.800000	2.254940
64.350000	2.328221
64.900000	2.567455
65.450000	2.542198
66.000000	2.421345
66.550000	2.315315
67.100000	2.260283
67.650000	1.978691
68.200000	1.803352
68.750000	1.748829
69.300000	1.886813
69.850000	1.663245
70.400000	1.969366
70.950000	1.906165
71.500000	1.840222
72.050000	1.765693
72.600000	1.478234
73.150000	1.430523
73.700000	1.763113
74.250000	1.875300
74.800000	1.786289
75.350000	2.045380
75.900000	1.889663
76.450000	1.754996
77.000000	1.705363
77.550000	1.837269
78.100000	2.013378
78.650000	1.804376
79.200000	2.333216
79.750000	2.094712
80.300000	1.994458
80.850000	2.215130
81.400000	1.876002
81.950000	1.539521
82.500000	1.759516
83.050000	1.754215
83.600000	1.604945
84.150000	1.664555
84.700000	1.798868
85.250000	1.636473
85.800000	1.974716
86.350000	1.466409
86.900000	1.659909
87.450000	1.612968
88.000000	1.590315
88.550000	1.599238
89.100000	1.731081
89.650000	1.557042
90.200000	1.532647
90.750000	1.568525
91.300000	1.414451
91.850000	1.193613
92.400000	1.374969
92.950000	1.495786
93.500000	1.419387
94.050000	1.606272
94.600000	1.511601
95.150000	1.353483
95.700000	1.454666
96.250000	1.361632
96.800000	1.206831
97.350000	1.381567
97.900000	1.411997
98.450000	1.577310
99.000000	1.715465
99.550000	1.585948
100.100000	1.529516
100.650000	1.362909
101.200000	1.508961
