This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z:
Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	0.000000
0.550000	0.093134
1.100000	0.330191
1.650000	0.400400
2.200000	0.523603
2.750000	0.490617
3.300000	0.489847
3.850000	0.497838
4.400000	0.519127
4.950000	0.530029
5.500000	0.523080
6.050000	0.497617
6.600000	0.505288
7.150000	0.542886
7.700000	0.537115
8.250000	0.511262
8.800000	0.515938
9.350000	0.494912
9.900000	0.457225
10.450000	0.395389
11.000000	0.438352
11.550000	0.474557
12.100000	0.526216
12.650000	0.438721
13.200000	0.515720
13.750000	0.511868
14.300000	0.522096
14.850000	0.527160
15.400000	0.530474
15.950000	0.531235
16.500000	0.494668
17.050000	0.487855
17.600000	0.517655
18.150000	0.529694
18.700000	0.527839
19.250000	0.513703
19.800000	0.543325
20.350000	0.532162
20.900000	0.527983
21.450000	0.518603
22.000000	0.523994
22.550000	0.533247
23.100000	0.539237
23.650000	0.502635
24.200000	0.507563
24.750000	0.508879
25.300000	0.504977
25.850000	0.532654
26.400000	0.451958
26.950000	0.465239
27.500000	0.508473
28.050000	0.533286
28.600000	0.562853
29.150000	0.559408
29.700000	0.550316
30.250000	0.536473
30.800000	0.526287
31.350000	0.540824
31.900000	0.552897
32.450000	0.568875
33.000000	0.564308
33.550000	0.601471
34.100000	0.575063
34.650000	0.555534
35.200000	0.547774
35.750000	0.545517
36.300000	0.508241
36.850000	0.553132
37.400000	0.561738
37.950000	0.570458
38.500000	0.557729
39.050000	0.519388
39.600000	0.522557
40.150000	0.515579
40.700000	0.503150
41.250000	0.516637
41.800000	0.516063
42.350000	0.558202
42.900000	0.561958
43.450000	0.544212
44.000000	0.559431
44.550000	0.565431
45.100000	0.571808
45.650000	0.570972
46.200000	0.544798
46.750000	0.581498
47.300000	0.559757
47.850000	0.546030
48.400000	0.548294
48.950000	0.560675
49.500000	0.574496
50.050000	0.562364
50.600000	0.500627
51.150000	0.545058
51.700000	0.572832
52.250000	0.566332
52.800000	0.579401
53.350000	0.587715
53.900000	0.559126
54.450000	0.579507
55.000000	0.602613
55.550000	0.578372
56.100000	0.587197
56.650000	0.602276
57.200000	0.608263
57.750000	0.599055
58.300000	0.597536
58.850000	0.627140
59.400000	0.607990
59.950000	0.611694
60.500000	0.574466
61.050000	0.579690
61.600000	0.581910
62.150000	0.549060
62.700000	0.573884
63.250000	0.611076
63.800000	0.526642
64.350000	0.512025
64.900000	0.543081
65.450000	0.545441
66.000000	0.561510
66.550000	0.560298
67.100000	0.569422
67.650000	0.571469
68.200000	0.569897
68.750000	0.568920
69.300000	0.573326
69.850000	0.591181
70.400000	0.573870
70.950000	0.565235
71.500000	0.559592
72.050000	0.571407
72.600000	0.580653
73.150000	0.595026
73.700000	0.591249
74.250000	0.612345
74.800000	0.629949
75.350000	0.636389
75.900000	0.591631
76.450000	0.582052
77.000000	0.569062
77.550000	0.550512
78.100000	0.582866
78.650000	0.594113
79.200000	0.641500
79.750000	0.644219
80.300000	0.620321
80.850000	0.611887
81.400000	0.616413
81.950000	0.585618
82.500000	0.595659
83.050000	0.596824
83.600000	0.552987
84.150000	0.612295
84.700000	0.588864
85.250000	0.563139
85.800000	0.523961
86.350000	0.524778
86.900000	0.535824
87.450000	0.588358
88.000000	0.586061
88.550000	0.603807
89.100000	0.592903
89.650000	0.604782
90.200000	0.606902
90.750000	0.607535
91.300000	0.565495
91.850000	0.565293
92.400000	0.548475
92.950000	0.553914
93.500000	0.603616
94.050000	0.646468
94.600000	0.652138
95.150000	0.637650
95.700000	0.645628
96.250000	0.590623
96.800000	0.617160
97.350000	0.609820
97.900000	0.664380
98.450000	0.615222
99.000000	0.599074
99.550000	0.663218
100.100000	0.637903
100.650000	0.594773
101.200000	0.581623
101.750000	0.587952
102.300000	0.602801
102.850000	0.640627
103.400000	0.606731
103.950000	0.698107
104.500000	0.712274
105.050000	0.689554
105.600000	0.643654
106.150000	0.637552
106.700000	0.642670
107.250000	0.656558
107.800000	0.664324
108.350000	0.641013
108.900000	0.610513
109.450000	0.569928
110.000000	0.559626
110.550000	0.573094
111.100000	0.565897
111.650000	0.573620
112.200000	0.602518
112.750000	0.610784
113.300000	0.620887
113.850000	0.619953
114.400000	0.625936
114.950000	0.705855
115.500000	0.819775
116.050000	0.709139
116.600000	0.743251
117.150000	0.743253
117.700000	0.743783
118.250000	0.735907
118.800000	0.696746
119.350000	0.653301
119.900000	0.623899
120.450000	0.635601
121.000000	0.632714
121.550000	0.618178
122.100000	0.581034
122.650000	0.617907
123.200000	0.610609
123.750000	0.615368
124.300000	0.652616
124.850000	0.657490
125.400000	0.617251
125.950000	0.605266
126.500000	0.626257
127.050000	0.655984
127.600000	0.649476
128.150000	0.647918
128.700000	0.663972
129.250000	0.626310
129.800000	0.611462
130.350000	0.591915
130.900000	0.675071
131.450000	0.676102
132.000000	0.654432
132.550000	0.667992
133.100000	0.628757
133.650000	0.657623
134.200000	0.669273
134.750000	0.628669
135.300000	0.634022
135.850000	0.601900
136.400000	0.599334
136.950000	0.555168
137.500000	0.529537
138.050000	0.543344
138.600000	0.591090
139.150000	0.624944
139.700000	0.631319
140.250000	0.567456
140.800000	0.591760
141.350000	0.544373
141.900000	0.555573
142.450000	0.557919
143.000000	0.645750
143.550000	0.656365
144.100000	0.677807
144.650000	0.710683
145.200000	0.748520
145.750000	0.668884
146.300000	0.676935
146.850000	0.673473
147.400000	0.659766
147.950000	0.607396
148.500000	0.657780
149.050000	0.595669
149.600000	0.599759
150.150000	0.646241
150.700000	0.629409
151.250000	0.615091
151.800000	0.623117
152.350000	0.642433
152.900000	0.677543
153.450000	0.631492
154.000000	0.619760
154.550000	0.597027
155.100000	0.604661
155.650000	0.606624
156.200000	0.594779
156.750000	0.591246
157.300000	0.698090
157.850000	0.652613
158.400000	0.614333
158.950000	0.627187
159.500000	0.629953
160.050000	0.663260
160.600000	0.696144
161.150000	0.615141
161.700000	0.635992
162.250000	0.623948
162.800000	0.634468
163.350000	0.625768
163.900000	0.661589
164.450000	0.649797
165.000000	0.644520
165.550000	0.574330
166.100000	0.608208
166.650000	0.625416
167.200000	0.609323
167.750000	0.614288
168.300000	0.629983
168.850000	0.633234
169.400000	0.602916
169.950000	0.596166
170.500000	0.639601
171.050000	0.663322
171.600000	0.707141
172.150000	0.732778
172.700000	0.759570
173.250000	0.773823
173.800000	0.751882
174.350000	0.726916
174.900000	0.709276
175.450000	0.687518
176.000000	0.683321
176.550000	0.690687
177.100000	0.740669
177.650000	0.739550
178.200000	0.745204
178.750000	0.723827
179.300000	0.685269
179.850000	0.658486
180.400000	0.636056
180.950000	0.627473
181.500000	0.575187
