This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng:
Results Amplitude:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	5.106600
0.550000	29.172856
1.100000	48.544387
1.650000	65.423420
2.200000	96.261964
2.750000	108.972966
3.300000	132.370146
3.850000	143.997515
4.400000	165.795569
4.950000	192.469052
5.500000	213.737997
6.050000	220.464888
6.600000	227.635784
7.150000	247.579918
7.700000	277.193001
8.250000	277.521960
8.800000	287.604705
9.350000	291.653420
9.900000	286.493227
10.450000	297.101026
11.000000	291.237773
11.550000	259.753321
12.100000	268.732978
12.650000	263.591460
13.200000	264.550700
13.750000	250.573167
14.300000	262.304982
14.850000	244.958128
15.400000	250.953954
15.950000	256.393842
16.500000	266.821129
17.050000	264.603890
17.600000	254.614457
18.150000	258.182862
18.700000	255.359333
19.250000	257.879286
19.800000	252.096654
20.350000	272.591720
20.900000	263.227688
21.450000	260.586480
22.000000	254.415571
22.550000	242.871559
23.100000	239.607257
23.650000	242.842422
24.200000	247.854038
24.750000	244.937792
25.300000	246.797575
25.850000	247.961293
26.400000	225.221766
26.950000	225.664815
27.500000	207.876728
28.050000	209.680071
28.600000	204.748719
29.150000	215.945163
29.700000	208.318078
30.250000	213.679507
30.800000	208.491284
31.350000	192.634450
31.900000	213.492172
32.450000	186.440392
33.000000	203.276362
33.550000	204.040412
34.100000	196.175165
34.650000	197.617591
35.200000	195.895607
35.750000	205.741542
36.300000	197.289076
36.850000	186.118798
37.400000	185.985198
37.950000	177.956343
38.500000	208.174007
39.050000	199.183889
39.600000	189.756651
40.150000	190.231054
40.700000	199.936966
41.250000	195.400598
41.800000	168.624443
42.350000	162.317263
42.900000	146.404914
43.450000	155.018099
44.000000	163.228820
44.550000	169.846198
45.100000	175.248891
45.650000	163.325130
46.200000	144.125944
46.750000	162.668741
47.300000	147.388152
47.850000	145.719563
48.400000	152.463669
48.950000	157.451754
49.500000	154.748576
50.050000	156.986776
50.600000	161.753596
51.150000	172.151325
51.700000	184.174185
52.250000	194.511760
52.800000	201.785652
53.350000	203.308662
53.900000	180.869323
54.450000	195.102155
55.000000	200.335086
55.550000	194.759520
56.100000	189.910341
