This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	283.708405
0.550000	385.352814
1.100000	487.012543
1.650000	585.753845
2.200000	744.317505
2.750000	944.621582
3.300000	1169.262695
3.850000	1336.352051
4.400000	1427.730957
4.950000	1549.589966
5.500000	1758.807495
6.050000	1837.369873
6.600000	1872.819458
7.150000	1904.386230
7.700000	1908.294434
8.250000	1915.080200
8.800000	1973.708740
9.350000	1997.831543
9.900000	2137.007080
10.450000	2221.717529
11.000000	2303.902588
11.550000	2330.272949
12.100000	2408.500488
12.650000	2835.508301
13.200000	2877.146484
13.750000	2972.278809
14.300000	3045.629883
14.850000	2934.317627
15.400000	2743.653076
15.950000	2740.304932
16.500000	2746.946777
17.050000	2785.433838
17.600000	2886.565918
18.150000	2900.479004
18.700000	2965.954346
19.250000	3044.819092
19.800000	3112.001953
20.350000	3318.150635
20.900000	3336.366699
21.450000	3336.366699
22.000000	3202.848877
22.550000	2895.344238
23.100000	2612.089844
23.650000	2282.784912
24.200000	2110.561523
24.750000	2086.979248
25.300000	2078.926514
25.850000	2056.781250
26.400000	1911.466675
26.950000	1892.870972
27.500000	1654.966431
28.050000	1647.025146
28.600000	1644.400146
29.150000	1648.025146
29.700000	1645.730957
30.250000	1652.625244
30.800000	1656.179077
31.350000	1656.388916
31.900000	1645.914062
32.450000	1645.914062
