This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	48.245316
0.550000	48.345989
1.100000	48.196930
1.650000	49.066124
2.200000	49.223114
2.750000	48.779114
3.300000	48.667812
3.850000	48.525677
4.400000	48.251545
4.950000	48.034206
5.500000	47.873684
6.050000	47.875652
6.600000	48.014282
7.150000	48.862095
7.700000	49.101200
8.250000	49.055679
8.800000	48.016281
9.350000	46.781532
9.900000	46.388336
10.450000	46.060627
11.000000	45.950935
11.550000	45.893364
12.100000	45.720963
12.650000	45.256386
13.200000	44.679081
13.750000	43.872166
14.300000	43.605171
14.850000	43.577530
15.400000	42.217976
15.950000	42.119595
16.500000	42.059685
17.050000	42.097462
17.600000	42.121098
18.150000	42.484303
18.700000	43.034523
19.250000	43.034523
19.800000	43.034523
20.350000	42.574158
20.900000	42.534817
21.450000	42.534817
22.000000	43.680553
22.550000	44.806995
23.100000	45.633415
23.650000	45.892139
24.200000	46.667641
24.750000	47.611755
25.300000	47.614632
25.850000	47.637142
26.400000	47.225792
26.950000	47.306011
27.500000	47.651691
28.050000	49.197899
28.600000	50.533260
29.150000	50.554897
29.700000	50.680828
30.250000	49.768204
30.800000	48.568001
31.350000	47.892593
31.900000	47.618465
32.450000	47.618465
