This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	375.005737
0.550000	479.007324
1.100000	583.008911
1.650000	692.010559
2.200000	883.013489
2.750000	1234.018799
3.300000	1486.022705
3.850000	1711.026123
4.400000	1711.026123
4.950000	1929.029419
5.500000	2272.034668
6.050000	2478.037842
6.600000	2688.041016
7.150000	2688.041016
7.700000	2688.041016
8.250000	2688.041016
8.800000	2518.038330
9.350000	2518.038330
9.900000	2518.038330
10.450000	2923.044678
11.000000	3379.051514
11.550000	3379.051514
12.100000	3379.051514
12.650000	3379.051514
13.200000	3379.051514
13.750000	3379.051514
14.300000	3263.049805
14.850000	3097.047363
15.400000	2918.044434
15.950000	2918.044434
16.500000	2918.044434
17.050000	2953.045166
17.600000	3067.046875
18.150000	3077.046875
18.700000	3269.049805
19.250000	3418.052246
19.800000	3445.052490
20.350000	3615.055176
20.900000	3615.055176
21.450000	3615.055176
22.000000	3497.053467
22.550000	3161.048340
23.100000	2861.043701
23.650000	2522.038574
24.200000	2336.035645
24.750000	2336.035645
25.300000	2336.035645
25.850000	2279.034668
26.400000	2042.031128
26.950000	2042.031128
27.500000	1735.026489
28.050000	1731.026367
28.600000	1731.026367
29.150000	1731.026367
29.700000	1731.026367
30.250000	1731.026367
30.800000	1731.026367
31.350000	1731.026367
31.900000	1712.026123
32.450000	1712.026123
