This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	273.004181
0.550000	394.506042
1.100000	513.007812
1.650000	610.509338
2.200000	775.011841
2.750000	938.014343
3.300000	1156.017700
3.850000	1349.520630
4.400000	1457.022217
4.950000	1573.524048
5.500000	1789.027344
6.050000	1873.528564
6.600000	1882.528687
7.150000	1841.028076
7.700000	1849.028320
8.250000	1856.028320
8.800000	2019.530762
9.350000	2027.531006
9.900000	2147.532715
10.450000	2206.533691
11.000000	2209.033691
11.550000	2219.033936
12.100000	2331.535645
12.650000	2803.042725
13.200000	2956.045166
13.750000	3017.045898
14.300000	3035.546387
14.850000	2917.044434
15.400000	2725.541504
15.950000	2733.041748
16.500000	2744.041992
17.050000	2821.042969
17.600000	2906.044434
18.150000	2936.044922
18.700000	2955.044922
19.250000	3021.546143
19.800000	3123.047852
20.350000	3382.051514
20.900000	3382.051514
21.450000	3382.051514
22.000000	3271.049805
22.550000	2901.544434
23.100000	2593.539551
23.650000	2271.534668
24.200000	2132.032471
24.750000	2103.031982
25.300000	2098.031982
25.850000	2091.531982
26.400000	1918.029297
26.950000	1902.029053
27.500000	1656.025269
28.050000	1646.525146
28.600000	1639.525024
29.150000	1644.525146
29.700000	1642.025024
30.250000	1647.025146
30.800000	1663.025391
31.350000	1663.025391
31.900000	1637.025024
32.450000	1637.025024
