This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	47.247997
0.550000	47.554699
1.100000	47.554699
1.650000	49.372124
2.200000	49.305321
2.750000	48.576527
3.300000	48.327522
3.850000	48.234905
4.400000	47.954018
4.950000	47.742970
5.500000	47.565327
6.050000	47.572918
6.600000	47.802185
7.150000	48.828568
7.700000	49.167152
8.250000	49.057835
8.800000	47.829514
9.350000	46.409885
9.900000	45.855698
10.450000	45.840515
11.000000	45.914913
11.550000	45.981720
12.100000	45.805595
12.650000	45.252926
13.200000	44.600048
13.750000	43.704239
14.300000	43.541779
14.850000	43.437019
15.400000	42.340790
15.950000	42.179848
16.500000	42.122150
17.050000	42.128227
17.600000	42.128227
18.150000	42.419743
18.700000	42.943565
19.250000	42.943565
19.800000	42.943565
20.350000	42.519951
20.900000	42.492622
21.450000	42.492622
22.000000	43.616177
22.550000	44.855125
23.100000	45.910358
23.650000	46.071301
24.200000	46.850197
24.750000	47.633652
25.300000	47.633652
25.850000	47.639725
26.400000	47.108315
26.950000	47.408939
27.500000	47.524330
28.050000	49.117046
28.600000	50.459244
29.150000	50.459244
29.700000	50.478981
30.250000	49.464745
30.800000	48.146843
31.350000	47.651871
31.900000	47.606319
32.450000	47.606319
