This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	11.998703
0.550000	11.998703
1.100000	11.998703
1.650000	16.000992
2.200000	16.000992
2.750000	16.000992
3.300000	13.999847
3.850000	13.999847
4.400000	13.999847
4.950000	13.999847
5.500000	16.000992
6.050000	16.000992
6.600000	16.000992
7.150000	23.000443
7.700000	26.000641
8.250000	26.000641
8.800000	16.000992
9.350000	13.999847
9.900000	13.999847
10.450000	10.999649
11.000000	10.999649
11.550000	10.999649
12.100000	10.999649
12.650000	10.999649
13.200000	10.999649
13.750000	10.999649
14.300000	3.001144
14.850000	3.001144
15.400000	3.001144
15.950000	3.001144
16.500000	3.001144
17.050000	3.001144
17.600000	3.001144
18.150000	3.001144
18.700000	4.501244
19.250000	6.001343
19.800000	6.001343
20.350000	6.001343
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	6.001343
23.650000	6.001343
24.200000	6.001343
24.750000	6.001343
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	6.001343
27.500000	45.000885
28.050000	49.000137
28.600000	49.000137
29.150000	90.999878
29.700000	90.999878
30.250000	90.999878
30.800000	6.001343
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
