This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	13.999847
0.550000	26.999695
1.100000	13.999847
1.650000	16.000992
2.200000	42.999741
2.750000	42.000687
3.300000	22.001389
3.850000	22.001389
4.400000	22.001389
4.950000	22.001389
5.500000	22.001389
6.050000	22.001389
6.600000	22.001389
7.150000	23.000443
7.700000	22.001389
8.250000	22.001389
8.800000	16.000992
9.350000	15.000420
9.900000	13.999847
10.450000	13.999847
11.000000	13.999847
11.550000	13.999847
12.100000	13.999847
12.650000	6.001343
13.200000	6.001343
13.750000	6.001343
14.300000	10.999649
14.850000	10.999649
15.400000	10.999649
15.950000	6.001343
16.500000	6.001343
17.050000	4.999252
17.600000	4.999252
18.150000	4.999252
18.700000	4.000198
19.250000	3.001144
19.800000	3.001144
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	8.998505
22.550000	8.998505
23.100000	8.998505
23.650000	8.998505
24.200000	8.998505
24.750000	39.999542
25.300000	39.999542
25.850000	39.999542
26.400000	45.000885
26.950000	45.000885
27.500000	45.000885
28.050000	49.000137
28.600000	49.000137
29.150000	49.000137
29.700000	49.000137
30.250000	49.000137
30.800000	7.999451
31.350000	7.999451
31.900000	7.999451
32.450000	7.999451
