This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	173.002640
0.550000	252.003845
1.100000	329.005035
1.650000	393.006012
2.200000	517.007874
2.750000	730.011169
3.300000	877.013367
3.850000	988.015076
4.400000	1061.016235
4.950000	1066.016235
5.500000	1076.016479
6.050000	1147.017456
6.600000	1260.019287
7.150000	1343.020508
7.700000	1391.021240
8.250000	1391.021240
8.800000	1412.021606
9.350000	1417.021606
9.900000	1513.023071
10.450000	1513.023071
11.000000	1513.023071
11.550000	1513.023071
12.100000	1574.024048
12.650000	1982.030273
13.200000	1982.030273
13.750000	2042.031128
14.300000	2042.031128
14.850000	2042.031128
15.400000	2162.032959
15.950000	2162.032959
16.500000	2162.032959
17.050000	2345.035889
17.600000	2393.036621
18.150000	2533.038574
18.700000	2682.041016
19.250000	2762.042236
19.800000	2762.042236
20.350000	2746.041992
20.900000	2746.041992
21.450000	2702.041260
22.000000	2297.035156
22.550000	2104.032227
23.100000	1853.028320
23.650000	1765.026978
24.200000	1692.025879
24.750000	1613.024658
25.300000	1613.024658
25.850000	1572.024048
26.400000	1610.024536
26.950000	1539.023438
27.500000	1520.023193
28.050000	1520.023193
28.600000	1520.023193
29.150000	1484.022705
29.700000	1484.022705
30.250000	1482.022583
30.800000	1479.022583
31.350000	1479.022583
31.900000	1479.022583
32.450000	1479.022583
