This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng:
Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	2.890084
0.550000	20.217246
1.100000	33.076183
1.650000	47.191965
2.200000	62.921690
2.750000	64.014061
3.300000	80.299121
3.850000	77.683776
4.400000	84.435918
4.950000	111.248312
5.500000	121.316049
6.050000	129.903840
6.600000	132.243695
7.150000	135.916717
7.700000	154.598398
8.250000	152.401356
8.800000	151.123097
9.350000	152.370203
9.900000	140.829965
10.450000	140.194017
11.000000	145.433298
11.550000	130.579474
12.100000	131.530347
12.650000	131.119341
13.200000	127.241732
13.750000	114.271383
14.300000	114.957375
14.850000	112.645028
15.400000	117.629244
15.950000	118.075840
16.500000	125.883977
17.050000	126.443275
17.600000	118.321077
18.150000	121.192923
18.700000	118.834885
19.250000	111.028237
19.800000	113.170113
20.350000	122.158364
20.900000	119.431461
21.450000	118.621123
22.000000	122.412228
22.550000	116.450711
23.100000	115.910295
23.650000	116.972459
24.200000	117.846964
24.750000	123.177573
25.300000	124.528839
25.850000	120.410096
26.400000	111.949078
26.950000	106.109293
27.500000	90.216007
28.050000	97.136469
28.600000	98.633326
29.150000	106.953071
29.700000	106.661063
30.250000	106.559245
30.800000	105.786374
31.350000	85.407475
31.900000	100.574605
32.450000	78.048233
33.000000	98.282577
33.550000	103.337546
34.100000	97.552976
34.650000	88.492476
35.200000	84.379118
35.750000	95.115158
36.300000	99.097475
36.850000	102.610482
37.400000	104.751607
37.950000	101.731792
38.500000	110.934007
39.050000	108.465758
39.600000	105.396589
40.150000	108.135223
40.700000	116.112641
41.250000	109.367999
41.800000	103.893984
42.350000	83.137641
42.900000	71.398599
43.450000	76.756166
44.000000	84.304900
44.550000	89.960874
45.100000	91.552080
45.650000	81.099617
46.200000	82.477885
46.750000	83.377875
47.300000	82.876930
47.850000	65.833592
48.400000	73.428152
48.950000	74.965240
49.500000	76.962158
50.050000	82.639869
50.600000	74.682057
51.150000	77.834859
51.700000	94.541044
52.250000	102.648239
52.800000	104.338775
53.350000	103.263617
53.900000	99.977280
54.450000	110.746716
55.000000	114.708497
55.550000	108.254340
56.100000	104.376497
56.650000	104.916985
57.200000	110.962175
57.750000	91.587693
58.300000	93.640510
58.850000	90.906732
59.400000	82.249633
59.950000	77.087374
60.500000	76.661002
61.050000	80.125744
61.600000	85.051738
62.150000	79.070004
62.700000	76.679748
63.250000	74.445238
63.800000	83.963588
64.350000	65.291123
64.900000	79.944792
65.450000	93.415564
66.000000	93.822741
66.550000	75.793255
67.100000	86.585304
67.650000	84.961651
68.200000	83.728258
68.750000	80.465730
69.300000	82.077787
69.850000	81.764417
70.400000	80.635159
70.950000	80.772912
71.500000	77.007015
72.050000	79.142241
72.600000	84.052293
73.150000	79.465498
73.700000	77.844499
74.250000	74.825651
74.800000	80.010760
75.350000	86.459410
75.900000	90.459676
76.450000	78.806279
77.000000	79.903534
77.550000	80.216907
78.100000	84.918057
78.650000	91.900427
79.200000	98.167975
79.750000	83.516601
80.300000	89.872173
80.850000	79.937720
81.400000	80.570635
81.950000	83.844657
82.500000	71.547354
83.050000	61.892557
83.600000	58.400462
84.150000	53.030610
84.700000	54.611174
85.250000	74.766065
85.800000	73.888106
86.350000	74.982173
86.900000	80.887955
87.450000	65.491967
88.000000	56.317965
88.550000	58.550446
89.100000	58.032006
89.650000	58.938966
90.200000	56.104461
90.750000	70.940208
91.300000	64.506422
91.850000	64.963284
92.400000	65.746251
92.950000	67.718921
93.500000	74.861567
94.050000	75.500800
94.600000	63.551230
95.150000	59.387297
95.700000	57.511294
96.250000	64.845464
96.800000	59.652769
97.350000	49.838970
97.900000	63.546659
98.450000	55.764238
99.000000	59.293050
99.550000	57.039861
100.100000	63.566568
100.650000	65.480825
101.200000	67.509950
101.750000	82.591301
102.300000	84.713963
102.850000	91.740331
103.400000	93.421421
103.950000	93.293284
104.500000	85.552794
105.050000	81.779494
105.600000	76.075147
106.150000	78.144556
106.700000	79.821546
107.250000	69.356749
107.800000	69.145138
108.350000	59.099171
108.900000	65.065094
109.450000	64.469387
110.000000	71.416210
110.550000	75.263379
111.100000	80.863573
111.650000	72.688374
112.200000	67.990453
112.750000	70.151711
113.300000	58.197839
113.850000	55.708483
114.400000	48.071792
114.950000	44.674840
115.500000	50.735763
116.050000	59.468842
116.600000	45.595031
117.150000	48.052221
117.700000	57.545602
118.250000	64.221029
118.800000	77.072722
119.350000	76.004679
119.900000	71.232347
120.450000	69.104088
121.000000	67.397455
121.550000	64.846618
122.100000	72.864565
122.650000	82.916530
123.200000	81.927556
123.750000	67.916079
124.300000	70.098774
124.850000	54.916194
125.400000	52.766420
125.950000	56.002660
126.500000	57.378045
127.050000	56.390064
127.600000	50.194474
128.150000	48.868224
128.700000	53.881530
129.250000	62.703526
129.800000	65.688642
130.350000	65.099737
130.900000	42.610835
131.450000	32.290314
132.000000	42.782280
132.550000	36.765025
133.100000	46.669531
133.650000	58.193726
134.200000	67.777466
134.750000	70.420304
135.300000	70.525722
135.850000	60.298582
136.400000	61.707737
136.950000	66.922477
137.500000	64.656449
138.050000	64.029226
138.600000	67.796555
139.150000	62.149037
139.700000	73.760392
140.250000	76.783549
140.800000	63.153465
141.350000	78.899052
141.900000	73.515806
142.450000	68.188846
143.000000	92.831759
143.550000	80.518358
144.100000	75.196774
144.650000	71.427851
145.200000	71.704311
145.750000	74.571921
146.300000	75.388472
146.850000	78.186224
147.400000	70.902209
147.950000	69.433932
148.500000	65.333522
149.050000	59.003730
149.600000	48.150093
150.150000	49.085342
150.700000	61.716810
151.250000	69.345337
151.800000	62.783733
