Frequencies for trace parameter:	HRMaxPos
Analyzed image:	\Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	6.0	47.28898278908029	32.0	42.812730161850766	32.65988782811167
1-201	6.0	48.36098863197079	32.0	41.8079836783769	32.63491610492324
2-202	6.0	49.70956058871858	32.0	40.5552176878485	32.530677546473264
3-203	6.0	50.53616823155245	11.0	41.27122534488648	32.53156460622629
4-204	6.0	51.08794272493525	11.0	41.84363826293867	32.54079147273801
5-205	6.0	51.5993738527998	11.0	42.33229106664516	32.41166627068385
6-206	6.0	51.9947297095605	11.0	42.52224430487579	32.421986575944594
7-207	6.0	52.81050740723717	11.0	42.963932594522085	32.34487078034554
8-208	6.0	53.96994711163451	11.0	43.09498687330121	32.34267021948927
9-209	6.0	53.899349958450294	11.0	43.26178764144121	32.3387919367071
10-210	6.0	54.68911465486731	11.0	42.32044670062117	32.349980568903064
11-211	6.0	55.33484110513048	32.0	41.048688082746345	32.269226767241705
12-212	6.0	55.33064754666204	32.0	42.75342855698973	32.210490759064776
13-213	5.0	56.89734791932886	32.0	42.80297914879779	32.41093731711509
14-214	5.0	57.41880980434384	32.0	42.09726356914029	32.17037852875357
15-215	6.0	55.96295212020793	32.0	44.50759100914736	32.540783753461895
16-216	6.0	57.11636741653151	32.0	44.39055926563949	32.558026468184956
17-217	6.0	58.67829378182054	19.0	45.213942512849975	32.562516778136576
18-218	6.0	60.62929499253558	19.0	45.64688416490199	32.55196751598736
19-219	6.0	62.24277730574826	19.0	44.75343221317129	32.5833466669986
20-220	6.0	63.07350495615922	19.0	43.89358158594751	32.45729910740524
21-221	6.0	64.17151845633326	19.0	42.73666782934303	32.603273750146
22-222	6.0	63.9003307458411	19.0	43.00744325574547	32.550982694141034
23-223	6.0	61.64752821270907	19.0	44.421933793946515	32.6561047843467
24-224	6.0	61.03876181834531	19.0	44.116078045944654	32.796818224287094
25-225	6.0	59.53764620464252	32.0	42.906990925296014	32.735310019772356
26-226	6.0	60.097045031134975	32.0	42.57945551740001	32.57102326980669
27-227	6.0	60.18197745413304	32.0	43.286475221621345	32.700564065482865
28-228	6.0	60.19070502590421	32.0	42.57116320698915	32.59099023663018
29-229	6.0	60.44306375534781	32.0	43.23586176030491	32.501778158891845
30-230	6.0	60.74582663425205	32.0	43.816467413233894	32.50402198381883
31-231	6.0	60.96262473624619	32.0	44.51756131103508	32.45027060471489
32-232	6.0	61.583077403755645	19.0	44.185315279140475	32.563081768612875
33-233	6.0	62.92167987786861	19.0	45.15918566618307	32.521827976172204
34-234	6.0	65.20530889841956	3.0	46.817779067843134	32.423756654540625
35-235	6.0	68.43434426687408	3.0	50.09257671992187	32.397685160044276
36-236	6.0	71.18814733952755	3.0	52.84465696125743	32.37123814596749
