Frequencies for trace parameter:	Th2D
Analyzed image:	\Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	9.0	1995.1845285353813	6.0	939.0759266336518	17.393456133347836
1-201	9.0	1994.0795577716297	6.0	937.6869832269942	17.387805176044044
2-202	9.0	1998.333801765347	6.0	942.241732209106	17.38643772217445
3-203	9.0	1989.155444684366	7.0	945.6012680578418	17.379955857894714
4-204	9.0	2002.5691320405829	6.0	945.8328363700449	17.402771353781258
5-205	9.0	2018.3574039421726	6.0	978.2842116484528	17.364807293976586
6-206	9.0	2021.361299686513	6.0	996.1212339242162	17.392582692536074
7-207	9.0	2019.968110580953	6.0	1016.718771760276	17.37287947201153
8-208	9.0	2011.963186732596	6.0	1029.150127703067	17.37665518191064
9-209	9.0	2041.5850360702516	6.0	1007.0150219502707	17.612888219233373
10-210	9.0	2051.682805340691	6.0	1019.4791410451505	17.670453509622988
11-211	9.0	1991.9385655203034	6.0	1035.402899050055	17.34012888622583
12-212	9.0	2079.6824054306935	6.0	1049.399327046373	17.80395800545311
13-213	9.0	2094.3636000276283	6.0	1067.9301170935091	17.88308013765404
14-214	9.0	2027.6894621194215	6.0	1042.6409600521229	17.356816178884586
15-215	9.0	2062.044394340011	6.0	1072.3083331203588	17.443059844451778
16-216	9.0	2091.372230403933	6.0	1115.5929364516903	17.430548496549413
17-217	9.0	2107.2903687784437	6.0	1167.7879975513656	17.474094341550995
18-218	9.0	2107.0252875810384	6.0	1214.4590921850381	17.44507366145051
19-219	9.0	2099.7654809493038	6.0	1253.0899373875077	17.454876819344705
20-220	9.0	2078.3497181084613	6.0	1299.3123159279523	17.447994907348114
21-221	9.0	2048.400269048097	6.0	1339.8193035317486	17.475087866948908
22-222	9.0	2032.23309874236	6.0	1354.5942292190362	17.426506057899918
23-223	9.0	2034.86892505905	6.0	1352.374262033577	17.428740985549663
24-224	9.0	2042.7054784489935	6.0	1347.1351959873477	17.42692103658126
25-225	9.0	2037.3468418235088	6.0	1347.9788184328922	17.442577791987592
26-226	9.0	2050.086160571803	6.0	1342.103458741315	17.436227208144675
27-227	9.0	2069.3056372712153	6.0	1341.3652172862915	17.43054208740966
28-228	9.0	2077.9864055081557	6.0	1343.501705741557	17.47379174482568
29-229	9.0	2083.9858411656683	6.0	1353.3826319665873	17.40932393022444
30-230	9.0	2081.7844591779103	6.0	1369.0617934708255	17.44549436395166
31-231	9.0	2072.105694014162	6.0	1388.0884034544563	17.430397693173067
32-232	9.0	2057.5587287249396	6.0	1407.4270777249315	17.39681880187881
33-233	9.0	2046.2270802857377	6.0	1419.8852822883036	17.404133553989794
34-234	9.0	2045.0928548136494	6.0	1420.7266266531926	17.39714404375765
35-235	9.0	2154.616758711541	6.0	1310.5797730177374	18.05934746745224
36-236	9.0	2172.769659969407	6.0	1292.6958022913057	18.047471861361576
37-237	9.0	2105.9143288805544	6.0	1358.7257599337947	17.461909015038596
38-238	9.0	2142.063209703526	6.0	1316.3983052725873	17.440191481533574
39-239	9.0	2162.520179270869	6.0	1289.6011619169371	17.464894390962993
40-240	9.0	2177.0755946200866	6.0	1262.5120133555345	17.52872198303861
41-241	9.0	2179.4401738842025	6.0	1239.9250395458578	17.52266063463113
42-242	9.0	2168.741101098638	6.0	1232.1353064758425	17.454894299358365
43-243	9.0	2149.936577211962	6.0	1234.4770767884113	17.525130591986468
44-244	9.0	2124.7206453391473	6.0	1244.5220456693035	17.48360033412612
45-245	9.0	2101.122475533976	6.0	1258.3530589736026	17.482954335538682
46-246	9.0	2095.8172996313124	6.0	1262.409770934257	17.469469762668393
47-247	9.0	2089.7761862291013	6.0	1268.106776117483	17.473060059698014
48-248	9.0	2103.0714847415456	6.0	1257.471833859387	17.471306418722513
49-249	9.0	2120.407531559203	6.0	1236.9538945353459	17.467436507818277
50-250	9.0	2131.7683021947705	6.0	1220.7658140801248	17.495609896588228
51-251	9.0	2145.394763964906	6.0	1191.5150169854965	17.44273316291361
52-252	9.0	2152.44132688556	6.0	1157.6513134565475	17.487401636554104
53-253	9.0	2148.585393989398	6.0	1120.5869894110963	17.44979340582843
54-254	9.0	2137.4358906010693	6.0	1096.0271374994197	17.42614383785287
55-255	9.0	2124.516032147159	6.0	1081.958436243964	17.418398896844472
56-256	9.0	2112.1579528771317	6.0	1074.7929137386968	17.40858152227905
57-257	9.0	2102.042687381512	6.0	1072.6817809560955	17.394036805546634
58-258	9.0	2105.860316998429	6.0	1072.7762751479133	17.409366469926518
59-259	9.0	2106.1860205247845	6.0	1072.8022243909838	17.394349809595504
60-260	9.0	2112.5265173466064	6.0	1072.188454087671	17.403639832229583
61-261	9.0	2133.201358193036	6.0	1063.0264790480842	17.424708161447505
62-262	9.0	2151.1091812886893	6.0	1045.1361123315746	17.449595171636872
63-263	9.0	2165.5117889612343	6.0	1014.9984299249741	17.53888327287086
64-264	9.0	2167.953849318778	13.0	894.0345379139628	17.4947655721811
65-265	9.0	2157.2055651214455	13.0	860.0618568761361	17.538831990063994
66-266	9.0	2136.558358570923	25.0	836.5855498577745	17.52294936986855
67-267	9.0	2112.0199349608765	30.0	831.2093447619461	17.50288438717671
68-268	9.0	2092.9286184161333	5.0	865.5815235846885	17.505931177082537
69-269	9.0	2080.246348435795	5.0	877.1622449973788	17.500004946014386
70-270	9.0	2079.160259458475	5.0	878.4327659028228	17.491184298017536
71-271	9.0	2078.6759382456808	5.0	879.3554230547621	17.48538907271739
72-272	9.0	2090.640633401487	5.0	865.6571424694561	17.497660541967292
73-273	9.0	2106.482261282577	14.0	801.2259539828273	17.48184909391729
74-274	9.0	2115.3485624201057	14.0	816.924912223902	17.455902072905623
75-275	9.0	2112.989096957254	14.0	814.3873116996265	17.454605218959657
76-276	9.0	2116.886941272366	14.0	819.0812310900202	17.47596097123955
77-277	9.0	2111.146047325661	14.0	811.6483489254305	17.443834752610346
78-278	9.0	2096.522167988727	30.0	794.2815318268766	17.48302570154159
79-279	9.0	2077.0432731519177	31.0	801.1632391541349	17.432497346932138
80-280	9.0	2071.9561114064263	31.0	799.130715209961	17.4377945789586
81-281	9.0	2082.2044326891323	31.0	803.8405736493655	17.437414254543217
82-282	9.0	2099.5092237163353	31.0	821.0126534291193	17.46801846271849
83-283	9.0	2118.8587516688813	31.0	828.3562811151652	17.455276500764523
84-284	9.0	2142.532911252831	31.0	815.6057266303187	17.49984593834805
85-285	9.0	2165.2910250610043	32.0	818.8288504791029	17.53199285744111
86-286	9.0	2176.091638977246	32.0	792.8357757539293	17.465149904486246
87-287	9.0	2173.8245853009903	24.0	822.8407325693645	17.546839478262996
88-288	9.0	2163.2644309283646	24.0	838.9221788013388	17.52712425962321
89-289	9.0	2142.829665432203	31.0	842.4875721734863	17.489629371956635
90-290	9.0	2108.186700501258	31.0	829.390357594549	17.50621993311021
91-291	9.0	2077.8439688946223	32.0	813.4856375816244	17.52517223358061
92-292	9.0	2067.912828407575	32.0	806.3659660295806	17.503731614593274
93-293	9.0	2067.063714342501	32.0	802.3669377968284	17.516145760473254
94-294	9.0	2063.771012908113	32.0	806.5553732774104	17.510975832237992
95-295	9.0	2072.3253615066833	32.0	806.0975018176432	17.51617101837493
96-296	9.0	2084.677142814697	13.0	817.2723659740176	17.508551339832554
97-297	9.0	2092.779279813351	13.0	839.9762927088371	17.50074692462899
98-298	9.0	2095.646402925225	13.0	863.1156642245718	17.50438225777223
99-299	9.0	2093.6163571185384	13.0	873.259673819604	17.465485273747827
100-300	9.0	2088.93939099824	13.0	876.2378327141536	17.47935977549342
101-301	9.0	2084.2268915273016	6.0	1224.2083918452577	17.46858765922764
102-302	9.0	2073.4358503384237	6.0	1236.2770137760033	17.457044916832103
103-303	9.0	2063.4347489151687	6.0	1245.6263748855315	17.45534588050501
104-304	9.0	2068.450639795886	6.0	1240.3418819575547	17.45515767437016
105-305	9.0	2064.6740266245865	6.0	1243.4601557967433	17.524819201013244
106-306	9.0	2083.590883553882	6.0	1227.3715684734123	17.4096467892384
107-307	9.0	2099.4327456729548	6.0	1213.2295002139745	17.429919882733056
108-308	9.0	2109.391603324594	6.0	1205.045218017231	17.456247285184265
109-309	9.0	2122.9351589525295	6.0	1191.6056638802293	17.46983818653095
110-310	9.0	2120.491735787414	6.0	1191.4592040024556	17.535704105362022
111-311	9.0	2107.329004598721	6.0	1200.488187120263	17.494510171207644
112-312	9.0	2083.506489745683	6.0	1218.7960954982486	17.532810772535925
