Frequency results for the parameter cAng: height of primary frequency peak

frame group	arc length (µm)
	0.000000	0.550000	1.100000	1.650000	2.200000	2.750000	3.300000	3.850000	4.400000	4.950000	5.500000	6.050000	6.600000	7.150000	7.700000	8.250000	8.800000	9.350000	9.900000	10.450000	11.000000	11.550000	12.100000	12.650000	13.200000	13.750000	14.300000	14.850000	15.400000	15.950000	16.500000	17.050000	17.600000	18.150000	18.700000	19.250000	19.800000	20.350000	20.900000	21.450000	22.000000	22.550000	23.100000	23.650000	24.200000	24.750000	25.300000	25.850000	26.400000	26.950000	27.500000	28.050000	28.600000	29.150000	29.700000	30.250000	30.800000	31.350000	31.900000	32.450000	33.000000	33.550000	34.100000	34.650000	35.200000	35.750000	36.300000	36.850000	37.400000	37.950000	38.500000	39.050000	39.600000	40.150000	40.700000	41.250000	41.800000	42.350000	42.900000	43.450000	44.000000	44.550000	45.100000	45.650000	46.200000	46.750000	47.300000	47.850000	48.400000	48.950000	49.500000	50.050000	50.600000	51.150000	51.700000	52.250000	52.800000	53.350000	53.900000	54.450000	55.000000	55.550000	56.100000	56.650000	57.200000	57.750000	58.300000	58.850000	59.400000	59.950000	60.500000	61.050000	61.600000	62.150000	62.700000	63.250000	63.800000	64.350000	64.900000	65.450000	66.000000	66.550000	67.100000	67.650000	68.200000	68.750000	69.300000	69.850000	70.400000	70.950000	71.500000	72.050000	72.600000	73.150000	73.700000	74.250000	74.800000	75.350000	75.900000	76.450000	77.000000	77.550000	78.100000	78.650000	79.200000	79.750000	80.300000	80.850000	81.400000	81.950000	82.500000	83.050000	83.600000	84.150000	84.700000	85.250000	85.800000	86.350000	86.900000	87.450000	88.000000	88.550000	89.100000	89.650000	90.200000	90.750000	91.300000	91.850000	92.400000	92.950000	93.500000	94.050000	94.600000	95.150000	95.700000	96.250000	96.800000	97.350000	97.900000	98.450000	99.000000	99.550000	100.100000	100.650000	101.200000	101.750000	102.300000	102.850000	103.400000	103.950000	104.500000	105.050000	105.600000	106.150000	106.700000	107.250000	107.800000	108.350000	108.900000	109.450000	110.000000	110.550000	111.100000	111.650000	112.200000	112.750000	113.300000	113.850000	114.400000	114.950000	115.500000	116.050000	116.600000	117.150000	117.700000	118.250000	118.800000	119.350000	119.900000	120.450000	121.000000	121.550000	122.100000	122.650000	123.200000	123.750000	124.300000	124.850000	125.400000	125.950000	126.500000	127.050000	127.600000	128.150000	128.700000	129.250000	129.800000	130.350000	130.900000	131.450000	132.000000	132.550000	133.100000	133.650000	134.200000	134.750000	135.300000	135.850000	136.400000	136.950000	137.500000	138.050000	138.600000	139.150000	139.700000	140.250000	140.800000	141.350000	141.900000	142.450000	143.000000	143.550000	144.100000	144.650000	145.200000	145.750000	146.300000	146.850000	147.400000	147.950000	148.500000	149.050000	149.600000	150.150000	150.700000	151.250000	151.800000	152.350000	152.900000	153.450000	154.000000	154.550000	155.100000	155.650000	156.200000	156.750000	157.300000	157.850000	158.400000	158.950000	159.500000	160.050000	160.600000	161.150000	161.700000	162.250000	162.800000	163.350000	163.900000	164.450000	165.000000	165.550000	166.100000	166.650000	167.200000	167.750000	168.300000	168.850000	169.400000	169.950000	170.500000	171.050000	171.600000	172.150000	172.700000	173.250000	173.800000	174.350000	174.900000	175.450000	176.000000	176.550000	177.100000	177.650000	178.200000	178.750000	179.300000	179.850000	180.400000	180.950000	181.500000	182.050000	182.600000	183.150000	183.700000	184.250000	184.800000	185.350000	185.900000	186.450000	187.000000	187.550000	188.100000	188.650000	189.200000	189.750000	190.300000	190.850000	191.400000	191.950000	192.500000	193.050000	193.600000	194.150000	194.700000	195.250000	195.800000	196.350000	196.900000	197.450000	198.000000	198.550000	199.100000	199.650000	200.200000	200.750000	201.300000	201.850000	202.400000	202.950000	203.500000	204.050000	204.600000	205.150000	205.700000	206.250000	206.800000	207.350000	207.900000	208.450000	209.000000	209.550000	210.100000	210.650000	211.200000	211.750000	212.300000	212.850000	213.400000	213.950000	214.500000	215.050000	215.600000	216.150000	216.700000	217.250000	217.800000	218.350000	218.900000	219.450000	220.000000	220.550000	221.100000	221.650000	222.200000	222.750000	223.300000	223.850000	224.400000	224.950000	225.500000	226.050000	226.600000	227.150000	227.700000	228.250000	228.800000	229.350000	229.900000	230.450000	231.000000	231.550000	232.100000	232.650000	233.200000	233.750000	234.300000	234.850000	235.400000	235.950000	236.500000	237.050000	237.600000	238.150000	238.700000	239.250000	239.800000	240.350000	240.900000	241.450000	242.000000	242.550000	243.100000	243.650000	244.200000	244.750000	245.300000	245.850000	246.400000	246.950000	247.500000	248.050000
0-200	195.372742	270.305053	345.237365	520.202428	777.313757	1039.535648	1338.409241	1588.129344	1847.824379	1995.861126	2237.475432	2446.641915	2612.790271	2748.704494	2945.552034	2945.552034	2945.552034	2902.945881	2760.284573	2544.177093	2278.004845	2003.320432	1760.310409	1493.838522	1493.838522	1493.838522	1706.155258	1923.364144	2041.151983	2111.729303	2111.729303	2111.729303	2044.936652	1946.706116	1825.187195	1679.297039	1517.701268	1346.123652	1204.176908	1097.586812	1016.148259	967.946394	955.185509	955.185509	955.185509	981.871282	1033.116197	1065.927112	1099.687526	1107.621854	1107.621854	1107.621854	1088.695131	1051.165833	1030.787881	1012.397361	988.502143	966.149162	923.638314	923.638314	923.638314	923.638314																																																																																																																																																																																																																																																																																																																																																																																																					
1-201	195.707060	271.121747	346.536435	522.947869	783.216867	1047.952824	1349.384952	1602.368781	1865.424859	2018.175259	2263.071511	2474.575334	2641.958637	2777.933707	2971.497950	2971.497950	2971.497950	2919.957368	2775.089052	2557.122332	2289.420431	2011.510335	1765.083543	1496.020773	1496.020773	1496.020773	1700.747069	1914.739910	2029.764885	2097.275203	2097.275203	2097.275203	2034.209164	1940.855360	1822.932705	1681.864109	1524.485930	1355.136195	1214.303916	1107.739159	1025.765997	976.690779	962.266995	962.266995	962.266995	988.992228	1040.428891	1073.394379	1105.758615	1112.130879	1112.130879	1112.130879	1092.659319	1054.675879	1033.715873	1014.653213	990.422159	967.950247	922.506287	922.506287	922.506287																																																																																																																																																																																																																																																																																																																																																																																																						
2-202	196.208863	272.358499	348.508135	527.150680	789.133158	1058.906581	1365.305408	1622.263215	1892.331191	2052.846495	2302.275045	2518.163699	2690.593385	2828.872201	3021.421682	3021.421682	3021.421682	2960.314797	2811.547825	2588.919066	2315.846102	2034.048843	1783.005454	1508.673703	1508.673703	1508.673703	1697.498042	1907.658293	2018.492068	2078.691471	2078.691471	2078.691471	2015.923459	1925.199269	1811.855699	1676.400022	1522.977416	1357.658127	1220.583480	1114.860463	1032.399423	982.553229	966.657065	966.657065	966.657065	993.761538	1045.520862	1079.083392	1112.791485	1120.894729	1120.894729	1120.894729	1101.871888	1064.532438	1044.121048	1025.998006	1003.227187	981.902392	941.673980	941.673980	941.673980																																																																																																																																																																																																																																																																																																																																																																																																						
3-203	196.679170	273.503746	350.328322	530.997319	796.071157	1070.819528	1380.116115	1641.391928	1913.834982	2076.355704	2328.191769	2546.359477	2719.641234	2859.804428	3050.081123	3050.081123	3050.081123	2978.956949	2826.781400	2601.359607	2326.074707	2040.704302	1786.201963	1507.727812	1507.727812	1507.727812	1691.513600	1900.065037	2010.545504	2070.589908	2070.589908	2070.589908	2008.569587	1920.463671	1810.713139	1678.799739	1527.201039	1363.484907	1226.451030	1119.493562	1035.399533	983.721936	965.483057	965.483057	965.483057	992.978491	1045.284400	1079.597020	1113.992822	1123.734947	1123.734947	1123.734947	1105.186618	1068.538471	1048.618948	1031.207590	1009.597351	989.109970	949.504411	949.504411	949.504411																																																																																																																																																																																																																																																																																																																																																																																																						
4-204	197.132792	274.669365	352.205939	534.957307	803.566381	1081.481499	1393.905548	1657.379495	1932.016560	2097.187382	2350.337634	2570.036479	2742.967559	2880.770222	3064.841935	3064.841935	3064.841935	2985.257404	2830.309945	2602.732454	2325.599075	2037.823507	1780.677733	1499.529925	1499.529925	1499.529925	1685.814985	1892.531096	2002.641086	2064.204134	2064.204134	2064.204134	2004.489305	1918.513597	1810.825836	1680.457167	1529.933886	1366.482270	1228.596098	1119.783818	1033.664188	980.076210	959.626614	959.626614	959.626614	987.455941	1040.231948	1075.275199	1110.364412	1121.857776	1121.857776	1121.857776	1103.769560	1067.748075	1048.190331	1031.322760	1010.584178	990.682197	950.982666	950.982666	950.982666																																																																																																																																																																																																																																																																																																																																																																																																						
5-205	199.340853	277.653296	355.965739	539.950641	809.211471	1086.710709	1398.066552	1661.047167	1935.574932	2101.103234	2354.637350	2575.121143	2749.680233	2889.608468	3078.272995	3078.272995	3078.272995	3000.070581	2845.281946	2617.289866	2339.859323	2051.491863	1794.035009	1513.273058	1513.273058	1513.273058	1688.933294	1897.512787	2007.909723	2068.718978	2068.718978	2068.718978	2008.542882	1921.904206	1813.418711	1682.539247	1530.906477	1366.247697	1226.238764	1114.438303	1025.538915	969.594663	947.077930	947.077930	947.077930	975.712861	1029.283166	1065.296716	1101.204475	1115.023877	1115.023877	1115.023877	1097.466166	1062.072085	1042.967309	1026.806254	1007.270781	988.316542	950.751493	950.751493	950.751493																																																																																																																																																																																																																																																																																																																																																																																																						
6-206	192.738291	269.085446	345.432601	524.319849	787.531553	1059.910584	1368.055563	1629.177116	1902.397519	2068.239684	2322.132663	2544.097777	2720.742536	2863.003547	3052.765716	3052.765716	3052.765716	2983.372544	2831.540860	2607.249354	2333.468178	2048.734551	1796.363134	1520.793992	1520.793992	1520.793992	1686.299658	1896.748306	2007.206609	2067.315600	2067.315600	2067.315600	2006.810166	1919.779819	1810.930397	1680.024319	1527.914673	1362.623403	1221.610588	1108.088797	1017.542448	960.080887	935.291210	935.291210	935.291210	963.881527	1017.573210	1053.887463	1090.245726	1105.511653	1105.511653	1105.511653	1089.217379	1054.046786	1035.016670	1019.022670	1000.388488	982.222024	947.121537	947.121537	947.121537																																																																																																																																																																																																																																																																																																																																																																																																						
7-207	188.405108	263.497327	338.589547	515.347676	776.699363	1047.704118	1354.953933	1616.396718	1890.345601	2057.903896	2313.263241	2536.382145	2714.460832	2858.282382	3049.194750	3049.194750	3049.194750	2983.077377	2833.033080	2611.000384	2339.632087	2057.299069	1806.676664	1532.221974	1532.221974	1532.221974	1677.794483	1890.025124	2000.752569	2061.722580	2061.722580	2061.722580	2001.452553	1914.507382	1805.600512	1674.561139	1522.065898	1356.425485	1214.679849	1100.214781	1008.624587	950.168351	924.311959	924.311959	924.311959	952.859469	1006.308669	1042.171210	1078.265699	1093.638683	1093.638683	1093.638683	1077.737308	1043.292848	1025.354646	1010.413853	992.942327	975.685316	943.159935	943.159935	943.159935																																																																																																																																																																																																																																																																																																																																																																																																						
8-208	185.669139	259.924656	334.180173	509.693344	769.506228	1039.224663	1345.483212	1606.846894	1881.267323	2050.364935	2306.032323	2529.481002	2708.078764	2852.399088	3043.113681	3043.113681	3043.113681	2979.137322	2830.351859	2609.837003	2339.820537	2059.201053	1809.899140	1536.292079	1536.292079	1536.292079	1666.950988	1880.269066	1990.962035	2052.570796	2052.570796	2052.570796	1992.442808	1905.580466	1796.823662	1666.197136	1514.121282	1348.666941	1206.737720	1091.894410	1000.045656	941.406952	914.435534	914.435534	914.435534	942.053445	994.907608	1030.257495	1066.169618	1081.136266	1081.136266	1081.136266	1064.516492	1030.564214	1012.954398	998.708237	981.900428	965.531884	937.052738	937.052738	937.052738																																																																																																																																																																																																																																																																																																																																																																																																						
9-209	188.287931	263.593013	338.898095	518.387689	781.328239	1050.878487	1357.210758	1617.405870	1889.282865	2054.069636	2309.138885	2532.034747	2710.507523	2854.882386	3046.863260	3046.863260	3046.863260	2986.002262	2838.344082	2619.928147	2350.301409	2069.031226	1817.380696	1541.812334	1541.812334	1541.812334	1636.734879	1844.779496	1949.276976	1990.322291	1990.322291	1990.322291	1918.383254	1825.026352	1712.038361	1583.415834	1438.912288	1287.177288	1145.495956	1029.147478	935.782646	874.583003	840.663876	840.663876	840.663876	872.121645	931.005100	977.937868	1033.950701	1080.651783	1084.487745	1084.487745	1084.487745	1055.983507	1040.895210	1027.950405	1011.637448	996.119890	975.392696	975.392696	975.392696	975.392696																																																																																																																																																																																																																																																																																																																																																																																																					
