This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	9.382481
0.550000	9.248385
1.100000	9.113821
1.650000	8.352622
2.200000	8.069036
2.750000	8.054125
3.300000	8.054125
3.850000	8.054125
4.400000	8.069052
4.950000	8.069052
5.500000	8.078993
6.050000	8.088933
6.600000	8.093888
7.150000	8.108800
7.700000	8.128681
8.250000	8.188327
8.800000	8.635664
9.350000	8.735072
9.900000	8.814599
10.450000	8.904067
11.000000	8.978623
11.550000	8.998505
12.100000	8.998505
12.650000	8.998505
13.200000	8.983593
13.750000	8.978623
14.300000	8.884185
14.850000	8.824540
15.400000	8.784777
15.950000	8.740043
16.500000	8.566078
17.050000	8.481581
17.600000	8.426907
18.150000	8.382173
18.700000	8.362291
19.250000	8.352350
19.800000	8.352350
20.350000	8.352350
20.900000	8.372232
21.450000	8.382173
22.000000	8.392114
22.550000	8.426907
23.100000	8.436848
23.650000	8.466670
24.200000	8.486551
24.750000	8.506433
25.300000	8.546197
25.850000	8.566078
26.400000	8.629063
26.950000	8.669029
27.500000	8.676229
28.050000	8.710642
28.600000	8.724955
29.150000	8.724374
29.700000	8.774378
30.250000	8.820851
30.800000	9.113155
31.350000	9.269164
31.900000	9.847961
32.450000	9.772559
33.000000	9.022945
33.550000	8.998505
