This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	26.000641
0.550000	26.000641
1.100000	26.000641
1.650000	26.000641
2.200000	8.998505
2.750000	8.998505
3.300000	8.998505
3.850000	8.998505
4.400000	10.000595
4.950000	10.000595
5.500000	10.000595
6.050000	10.000595
6.600000	8.998505
7.150000	8.998505
7.700000	8.998505
8.250000	8.998505
8.800000	8.998505
9.350000	8.998505
9.900000	8.998505
10.450000	8.998505
11.000000	8.998505
11.550000	8.998505
12.100000	8.998505
12.650000	8.998505
13.200000	8.998505
13.750000	8.998505
14.300000	8.998505
14.850000	8.998505
15.400000	8.998505
15.950000	8.998505
16.500000	8.998505
17.050000	8.998505
17.600000	8.998505
18.150000	8.998505
18.700000	8.998505
19.250000	8.998505
19.800000	8.998505
20.350000	8.998505
20.900000	8.998505
21.450000	8.998505
22.000000	8.998505
22.550000	8.998505
23.100000	8.998505
23.650000	8.998505
24.200000	8.998505
24.750000	8.998505
25.300000	8.998505
25.850000	8.998505
26.400000	8.998505
26.950000	8.998505
27.500000	8.998505
28.050000	8.998505
28.600000	8.998505
29.150000	8.998505
29.700000	11.998703
30.250000	11.998703
30.800000	22.499397
31.350000	22.499397
31.900000	14.500893
32.450000	14.500893
33.000000	10.000595
33.550000	8.998505
