This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	1.419132
0.550000	1.403873
1.100000	1.373354
1.650000	1.312316
2.200000	1.251278
2.750000	1.220759
3.300000	1.144462
3.850000	1.068164
4.400000	1.068164
4.950000	1.068164
5.500000	1.007126
6.050000	0.946088
6.600000	0.885050
7.150000	0.839272
7.700000	0.762974
8.250000	0.762974
8.800000	0.671417
9.350000	0.640898
9.900000	0.640898
10.450000	0.640898
11.000000	0.610380
11.550000	0.549342
12.100000	0.503563
12.650000	0.427266
13.200000	0.396747
13.750000	0.396747
14.300000	0.396747
14.850000	0.396747
15.400000	0.396747
15.950000	0.396747
16.500000	0.396747
17.050000	0.396747
17.600000	0.412006
18.150000	0.381487
18.700000	0.366228
19.250000	0.366228
19.800000	0.366228
20.350000	0.366228
20.900000	0.350968
21.450000	0.350968
22.000000	0.350968
22.550000	0.350968
23.100000	0.350968
23.650000	0.350968
24.200000	0.381487
24.750000	0.396747
25.300000	0.396747
25.850000	0.396747
26.400000	0.381487
26.950000	0.366228
27.500000	0.350968
28.050000	0.335709
28.600000	0.335709
29.150000	0.335709
29.700000	0.335709
30.250000	0.350968
30.800000	0.350968
31.350000	0.350968
31.900000	0.381487
32.450000	0.396747
33.000000	0.412006
33.550000	0.427266
