This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter head velocity (in 2D):
	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
minimum	0.000000
maximum	84.178757
average	4.618672
median	0.777817
time
0.000000	
0.005000	0.612190
0.010000	0.590489
0.015000	0.640706
0.020000	6.074949
0.025000	1.138940
0.030000	1.387256
0.035000	0.550000
0.040000	0.550000
0.045000	0.550000
0.050000	1.650000
0.055000	0.000000
0.060000	0.165329
0.065000	0.754429
0.070000	1.209068
0.075000	5.150300
0.080000	0.504710
0.085000	0.574913
0.090000	1.753991
0.095000	1.891897
0.100000	0.552875
0.105000	0.581229
0.110000	1.776814
0.115000	0.662398
0.120000	0.773520
0.125000	0.773520
0.130000	4.950000
0.135000	1.739253
0.140000	2.354797
0.145000	0.513749
0.150000	0.503039
0.155000	1.136285
0.160000	0.550000
0.165000	0.550000
0.170000	1.100000
0.175000	0.373585
0.180000	1.206904
0.185000	5.035405
0.190000	0.625132
0.195000	0.724945
0.200000	2.568973
0.205000	0.166993
0.210000	0.527030
0.215000	0.000000
0.220000	0.550000
0.225000	0.777817
0.230000	1.125911
0.235000	0.551277
0.240000	1.450959
0.245000	1.289990
0.250000	5.527431
0.255000	0.625168
0.260000	1.621624
0.265000	1.120440
0.270000	1.650000
0.275000	0.550000
0.280000	0.000000
0.285000	0.590403
0.290000	0.900826
0.295000	3.251958
0.300000	3.142877
0.305000	0.537937
0.310000	2.150828
0.315000	0.232492
0.320000	0.550000
0.325000	0.550000
0.330000	0.550000
0.335000	0.550000
0.340000	0.000000
0.345000	0.550000
0.350000	0.783837
0.355000	0.552600
0.360000	1.477355
0.365000	0.339234
0.370000	4.400000
0.375000	2.267708
0.380000	2.483107
0.385000	2.129494
0.390000	0.550452
0.395000	1.103951
0.400000	2.534895
0.405000	0.158486
0.410000	9.645438
0.415000	10.274848
0.420000	2.233451
0.425000	1.656336
0.430000	1.739253
0.435000	1.525061
0.440000	2.043537
0.445000	0.550000
0.450000	0.000000
0.455000	2.459675
0.460000	1.100000
0.465000	0.438501
0.470000	0.333466
0.475000	1.150359
0.480000	10.789927
0.485000	0.550000
0.490000	10.554530
0.495000	0.983224
0.500000	1.249643
0.505000	2.507653
0.510000	0.771601
0.515000	0.764740
0.520000	1.873808
0.525000	18.695717
0.530000	66.422607
0.535000	72.053574
0.540000	0.963198
0.545000	1.529109
0.550000	0.000000
0.555000	0.777817
0.560000	0.550000
0.565000	0.000000
0.570000	0.550000
0.575000	2.469157
0.580000	0.128817
0.585000	1.207605
0.590000	3.291071
0.595000	6.437585
0.600000	0.000000
0.605000	5.500000
0.610000	79.178993
0.615000	73.071861
0.620000	1.610341
0.625000	22.244091
0.630000	16.754702
0.635000	44.063072
0.640000	39.446831
0.645000	3.545851
0.650000	1.211700
0.655000	0.550000
0.660000	0.000000
0.665000	0.550000
0.670000	0.550000
0.675000	0.000000
0.680000	0.550000
0.685000	1.100000
0.690000	0.000000
0.695000	0.777817
0.700000	0.777817
0.705000	1.290587
0.710000	0.825236
0.715000	3.637564
0.720000	5.070749
0.725000	5.592300
0.730000	6.141109
0.735000	5.444722
0.740000	26.198711
0.745000	24.652029
0.750000	0.777817
0.755000	21.130310
0.760000	46.750000
0.765000	34.299015
0.770000	21.744184
0.775000	31.468225
0.780000	0.550000
0.785000	0.550000
0.790000	0.550000
0.795000	0.000000
0.800000	0.550000
0.805000	0.550000
0.810000	0.777817
0.815000	0.284301
0.820000	4.683653
0.825000	2.961841
0.830000	0.000000
0.835000	1.100000
0.840000	47.020981
0.845000	47.481918
0.850000	5.949160
0.855000	53.984119
0.860000	84.178757
0.865000	37.742184
0.870000	28.695034
0.875000	71.807320
0.880000	47.835239
0.885000	8.163501
0.890000	5.070749
0.895000	0.777817
0.900000	5.023191
0.905000	5.441524
0.910000	5.096167
0.915000	4.629624
0.920000	0.749157
0.925000	5.117725
0.930000	3.889087
0.935000	0.777817
0.940000	3.521718
0.945000	5.070749
0.950000	7.379025
0.955000	0.777817
0.960000	0.550000
0.965000	1.229837
0.970000	0.777817
0.975000	1.100000
0.980000	1.100000
0.985000	23.496010
0.990000	21.569538
0.995000	1.229837
1.000000	0.000000
1.005000	0.550000
1.010000	0.777817
1.015000	0.550000
1.020000	7.150000
1.025000	7.660614
1.030000	0.777817
1.035000	0.550000
1.040000	30.691774
1.045000	31.354824
1.050000	1.100000
1.055000	33.292042
