This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	17.133612
0.550000	16.628639
1.100000	16.377157
1.650000	16.297615
2.200000	16.307556
2.750000	16.501856
3.300000	18.852682
3.850000	18.688538
4.400000	18.544214
4.950000	18.518682
5.500000	19.409264
6.050000	19.401785
6.600000	19.431698
7.150000	18.670574
7.700000	18.765329
8.250000	18.765329
8.800000	19.690689
9.350000	19.615995
9.900000	19.615995
10.450000	19.596054
11.000000	19.541214
11.550000	19.541214
12.100000	19.725285
12.650000	19.730255
13.200000	20.068501
13.750000	20.048559
14.300000	18.864450
14.850000	17.844790
15.400000	17.601013
15.950000	11.128457
16.500000	10.849902
17.050000	11.476779
17.600000	11.516587
18.150000	11.839952
18.700000	12.058831
19.250000	12.098625
19.800000	12.138418
20.350000	12.093639
20.900000	12.203049
21.450000	12.203049
22.000000	12.203049
22.550000	12.242843
23.100000	12.004082
23.650000	12.004082
24.200000	12.083684
24.750000	12.083684
25.300000	12.004096
25.850000	11.979169
26.400000	11.009439
26.950000	10.834104
27.500000	10.719413
28.050000	10.400059
28.600000	10.972102
29.150000	10.825079
29.700000	10.588554
30.250000	10.314204
30.800000	9.395539
31.350000	8.998505
31.900000	8.998505
32.450000	8.993262
33.000000	9.102305
33.550000	9.213021
