This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	10.000153
0.550000	13.000198
1.100000	16.000244
1.650000	19.000290
2.200000	23.000351
2.750000	26.000397
3.300000	28.000427
3.850000	29.000443
4.400000	30.000458
4.950000	30.000458
5.500000	30.000458
6.050000	31.000473
6.600000	33.000504
7.150000	35.000534
7.700000	35.000534
8.250000	38.000580
8.800000	43.000656
9.350000	46.000702
9.900000	51.000778
10.450000	56.000854
11.000000	61.000931
11.550000	67.001022
12.100000	74.001129
12.650000	79.001205
13.200000	85.001297
13.750000	92.001404
14.300000	98.001495
14.850000	104.001587
15.400000	110.001678
15.950000	117.001785
16.500000	124.001892
17.050000	131.001999
17.600000	138.002106
18.150000	146.002228
18.700000	154.002350
19.250000	161.002457
19.800000	169.002579
20.350000	177.002701
20.900000	184.002808
21.450000	191.002914
22.000000	199.003036
22.550000	208.003174
23.100000	215.003281
23.650000	224.003418
24.200000	233.003555
24.750000	241.003677
25.300000	244.003723
25.850000	259.003967
26.400000	268.004089
26.950000	277.004242
27.500000	287.004395
28.050000	299.004578
28.600000	309.004730
29.150000	321.004913
29.700000	335.005127
30.250000	339.005188
30.800000	350.005341
31.350000	350.005341
31.900000	350.005341
32.450000	340.005188
33.000000	329.005035
33.550000	329.005035
