This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	31.709520
0.550000	31.496956
1.100000	31.345123
1.650000	29.817696
2.200000	28.645552
2.750000	28.366182
3.300000	44.700256
3.850000	45.407795
4.400000	45.407795
4.950000	45.611248
5.500000	45.611248
6.050000	45.611248
6.600000	45.611248
7.150000	45.611248
7.700000	46.258053
8.250000	46.258053
8.800000	46.258053
9.350000	46.258053
9.900000	45.371353
10.450000	45.371353
11.000000	45.371353
11.550000	45.714497
12.100000	46.075855
12.650000	46.084965
13.200000	46.084965
13.750000	46.084965
14.300000	46.084965
14.850000	46.084965
15.400000	46.084965
15.950000	45.596066
16.500000	45.681091
17.050000	45.681091
17.600000	45.681091
18.150000	43.054401
18.700000	43.054401
19.250000	43.054401
19.800000	42.884350
20.350000	42.875240
20.900000	42.775028
21.450000	42.198067
22.000000	42.198067
22.550000	42.198067
23.100000	41.572521
23.650000	41.572521
24.200000	41.572521
24.750000	29.544397
25.300000	29.659790
25.850000	29.769108
26.400000	29.902721
26.950000	29.981674
27.500000	30.072773
28.050000	30.273191
28.600000	30.273191
29.150000	30.273191
29.700000	30.273191
30.250000	30.273191
30.800000	30.221567
31.350000	30.221567
31.900000	30.060625
32.450000	30.677063
33.000000	30.850151
33.550000	30.850151
