This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	68.999435
0.550000	68.999435
1.100000	68.999435
1.650000	68.999435
2.200000	68.999435
2.750000	68.999435
3.300000	68.000381
3.850000	68.000381
4.400000	68.000381
4.950000	68.000381
5.500000	69.998489
6.050000	69.998489
6.600000	69.998489
7.150000	69.998489
7.700000	78.000031
8.250000	78.000031
8.800000	78.000031
9.350000	68.999435
9.900000	68.999435
10.450000	68.999435
11.000000	68.999435
11.550000	68.999435
12.100000	68.999435
12.650000	69.998489
13.200000	69.998489
13.750000	69.998489
14.300000	68.999435
14.850000	68.999435
15.400000	68.999435
15.950000	68.999435
16.500000	68.999435
17.050000	40.998596
17.600000	40.998596
18.150000	40.998596
18.700000	65.000183
19.250000	65.000183
19.800000	65.000183
20.350000	29.999893
20.900000	72.998688
21.450000	72.998688
22.000000	72.998688
22.550000	72.998688
23.100000	72.998688
23.650000	72.998688
24.200000	72.998688
24.750000	72.998688
25.300000	74.000778
25.850000	74.000778
26.400000	74.000778
26.950000	74.000778
27.500000	74.000778
28.050000	74.000778
28.600000	74.000778
29.150000	74.000778
29.700000	74.000778
30.250000	74.000778
30.800000	74.000778
31.350000	36.999344
31.900000	36.999344
32.450000	36.999344
33.000000	36.999344
33.550000	17.000046
