This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	9.000137
0.550000	12.000183
1.100000	14.000214
1.650000	18.000275
2.200000	21.000320
2.750000	23.000351
3.300000	25.000381
3.850000	27.000412
4.400000	29.000443
4.950000	29.000443
5.500000	29.000443
6.050000	29.000443
6.600000	31.000473
7.150000	32.000488
7.700000	33.000504
8.250000	36.000549
8.800000	39.000595
9.350000	42.000641
9.900000	46.000702
10.450000	51.000778
11.000000	54.000824
11.550000	60.000916
12.100000	66.001007
12.650000	71.001083
13.200000	77.001175
13.750000	83.001266
14.300000	89.001358
14.850000	90.001373
15.400000	94.001434
15.950000	102.001556
16.500000	110.001678
17.050000	116.001770
17.600000	122.001862
18.150000	127.001938
18.700000	129.001968
19.250000	136.002075
19.800000	146.002228
20.350000	151.002304
20.900000	158.002411
21.450000	165.002518
22.000000	172.002625
22.550000	182.002777
23.100000	193.002945
23.650000	201.003067
24.200000	208.003174
24.750000	211.003220
25.300000	214.003265
25.850000	229.003494
26.400000	242.003693
26.950000	251.003830
27.500000	260.003967
28.050000	264.004028
28.600000	281.004303
29.150000	293.004486
29.700000	297.004547
30.250000	298.004547
30.800000	311.004761
31.350000	312.004761
31.900000	303.004639
32.450000	304.004639
33.000000	301.004608
33.550000	309.004730
