This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	9.000137
0.550000	10.000153
1.100000	12.000183
1.650000	15.000229
2.200000	19.000290
2.750000	21.000320
3.300000	23.000351
3.850000	24.000366
4.400000	25.000381
4.950000	25.000381
5.500000	25.000381
6.050000	26.000397
6.600000	26.000397
7.150000	27.000412
7.700000	29.000443
8.250000	31.000473
8.800000	33.000504
9.350000	36.000549
9.900000	39.000595
10.450000	40.000610
11.000000	43.000656
11.550000	47.000717
12.100000	50.000763
12.650000	52.000793
13.200000	55.000839
13.750000	61.000931
14.300000	65.000992
14.850000	73.001114
15.400000	79.001205
15.950000	84.001282
16.500000	88.001343
17.050000	93.001419
17.600000	97.001480
18.150000	101.001541
18.700000	107.001633
19.250000	111.001694
19.800000	113.001724
20.350000	118.001801
20.900000	121.001846
21.450000	124.001892
22.000000	128.001953
22.550000	132.002014
23.100000	136.002075
23.650000	139.002121
24.200000	143.002182
24.750000	147.002243
25.300000	149.002274
25.850000	155.002365
26.400000	158.002411
26.950000	161.002457
27.500000	165.002518
28.050000	172.002625
28.600000	178.002716
29.150000	183.502808
29.700000	196.502991
30.250000	214.003265
30.800000	235.003586
31.350000	237.003616
31.900000	238.503632
32.450000	240.003662
33.000000	247.003769
33.550000	253.503876
