This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	30.236752
0.550000	30.221567
1.100000	30.221567
1.650000	28.852043
2.200000	27.588802
2.750000	26.941999
3.300000	26.468283
3.850000	25.736454
4.400000	25.165565
4.950000	23.796041
5.500000	23.045992
6.050000	22.317200
6.600000	21.463903
7.150000	21.463903
7.700000	21.463903
8.250000	38.869911
8.800000	39.052113
9.350000	39.319336
9.900000	39.471169
10.450000	39.534935
11.000000	39.786976
11.550000	39.786976
12.100000	40.625092
12.650000	40.910534
13.200000	41.092731
13.750000	41.496605
14.300000	41.599850
14.850000	41.772938
15.400000	41.772938
15.950000	41.772938
16.500000	26.474356
17.050000	26.474356
17.600000	26.474356
18.150000	26.747654
18.700000	26.941999
19.250000	27.169746
19.800000	27.330688
20.350000	27.521997
20.900000	27.640425
21.450000	27.764927
22.000000	27.947126
22.550000	28.077702
23.100000	28.190058
23.650000	28.299376
24.200000	28.454245
24.750000	28.423878
25.300000	28.502831
25.850000	28.678955
26.400000	28.782202
26.950000	28.894556
27.500000	28.985657
28.050000	29.131414
28.600000	29.231625
29.150000	29.265026
29.700000	29.280210
30.250000	29.374346
30.800000	29.404713
31.350000	29.527697
31.900000	29.852615
32.450000	30.279264
33.000000	30.344551
33.550000	30.579891
