This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	26.999695
0.550000	26.999695
1.100000	26.999695
1.650000	17.999100
2.200000	17.999100
2.750000	17.999100
3.300000	17.999100
3.850000	17.999100
4.400000	17.999100
4.950000	17.999100
5.500000	17.999100
6.050000	17.999100
6.600000	17.999100
7.150000	17.999100
7.700000	17.999100
8.250000	17.999100
8.800000	17.000046
9.350000	17.000046
9.900000	17.000046
10.450000	17.000046
11.000000	17.000046
11.550000	17.000046
12.100000	17.999100
12.650000	17.999100
13.200000	17.999100
13.750000	29.999893
14.300000	29.999893
14.850000	29.999893
15.400000	29.999893
15.950000	29.999893
16.500000	29.999893
17.050000	29.999893
17.600000	29.999893
18.150000	29.999893
18.700000	29.999893
19.250000	29.999893
19.800000	29.999893
20.350000	29.999893
20.900000	29.999893
21.450000	29.999893
22.000000	29.999893
22.550000	29.999893
23.100000	29.999893
23.650000	29.999893
24.200000	29.999893
24.750000	26.000641
25.300000	26.000641
25.850000	26.000641
26.400000	26.000641
26.950000	26.000641
27.500000	26.000641
28.050000	26.000641
28.600000	17.000046
29.150000	17.000046
29.700000	17.000046
30.250000	8.998505
30.800000	8.998505
31.350000	7.000397
31.900000	7.000397
32.450000	7.501442
33.000000	7.501442
33.550000	7.000397
