This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	3.000046
0.550000	3.000046
1.100000	4.000061
1.650000	4.000061
2.200000	4.000061
2.750000	5.000076
3.300000	6.000092
3.850000	6.000092
4.400000	6.000092
4.950000	6.000092
5.500000	7.000107
6.050000	7.000107
6.600000	7.000107
7.150000	8.000122
7.700000	8.000122
8.250000	9.000137
8.800000	9.000137
9.350000	10.000153
9.900000	11.000168
10.450000	11.000168
11.000000	11.000168
11.550000	12.000183
12.100000	12.000183
12.650000	13.000198
13.200000	14.000214
13.750000	14.000214
14.300000	15.000229
14.850000	21.000320
15.400000	21.000320
15.950000	44.000671
16.500000	62.000946
17.050000	73.001114
17.600000	79.001205
18.150000	87.001328
18.700000	91.001389
19.250000	92.001404
19.800000	96.001465
20.350000	101.001541
20.900000	106.001617
21.450000	110.001678
22.000000	116.001770
22.550000	122.001862
23.100000	125.001907
23.650000	130.001984
24.200000	133.002029
24.750000	135.002060
25.300000	135.002060
25.850000	144.002197
26.400000	149.002274
26.950000	160.002441
27.500000	165.002518
28.050000	168.002563
28.600000	196.002991
29.150000	221.003372
29.700000	234.003571
30.250000	236.003601
30.800000	236.003601
31.350000	239.003647
31.900000	272.004150
32.450000	271.004150
33.000000	271.004150
33.550000	281.004303
