This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	23.100651
0.550000	22.384005
1.100000	21.630919
1.650000	20.291761
2.200000	20.291761
2.750000	20.291761
3.300000	21.946730
3.850000	21.946730
4.400000	21.946730
4.950000	23.516670
5.500000	22.596569
6.050000	21.652176
6.600000	20.665268
7.150000	20.665268
7.700000	20.665268
8.250000	38.065205
8.800000	38.065205
9.350000	38.065205
9.900000	37.697769
10.450000	37.555050
11.000000	37.555050
11.550000	37.555050
12.100000	37.555050
12.650000	37.555050
13.200000	37.555050
13.750000	37.555050
14.300000	37.555050
14.850000	38.544994
15.400000	38.730228
15.950000	39.440800
16.500000	24.816353
17.050000	24.816353
17.600000	24.816353
18.150000	24.816353
18.700000	24.816353
19.250000	24.968184
19.800000	25.159492
20.350000	25.350800
20.900000	25.505669
21.450000	25.663574
22.000000	25.848808
22.550000	25.863993
23.100000	25.863993
23.650000	26.006714
24.200000	24.300123
24.750000	22.180550
25.300000	22.180550
25.850000	22.180550
26.400000	22.180550
26.950000	22.396152
27.500000	22.821281
28.050000	23.191751
28.600000	23.316254
29.150000	23.316254
29.700000	23.325363
30.250000	25.393312
30.800000	27.938017
31.350000	28.202204
31.900000	28.560526
32.450000	28.937069
33.000000	28.937069
33.550000	29.659790
