This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	7.999451
0.550000	6.001343
1.100000	3.001144
1.650000	3.001144
2.200000	3.001144
2.750000	3.001144
3.300000	3.001144
3.850000	3.001144
4.400000	3.001144
4.950000	7.999451
5.500000	8.998505
6.050000	8.998505
6.600000	8.998505
7.150000	7.999451
7.700000	7.999451
8.250000	7.999451
8.800000	8.998505
9.350000	8.998505
9.900000	8.998505
10.450000	8.998505
11.000000	8.998505
11.550000	8.998505
12.100000	8.998505
12.650000	8.998505
13.200000	8.998505
13.750000	8.998505
14.300000	8.998505
14.850000	4.000198
15.400000	4.000198
15.950000	4.000198
16.500000	4.000198
17.050000	8.998505
17.600000	8.998505
18.150000	8.998505
18.700000	8.998505
19.250000	8.998505
19.800000	8.998505
20.350000	7.999451
20.900000	7.999451
21.450000	7.999451
22.000000	7.999451
22.550000	7.999451
23.100000	7.999451
23.650000	7.999451
24.200000	7.999451
24.750000	7.999451
25.300000	7.999451
25.850000	7.999451
26.400000	7.999451
26.950000	7.999451
27.500000	7.999451
28.050000	7.999451
28.600000	8.998505
29.150000	8.998505
29.700000	8.998505
30.250000	8.998505
30.800000	8.998505
31.350000	8.998505
31.900000	8.998505
32.450000	8.500496
33.000000	7.999451
33.550000	7.999451
