This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	7.999451
0.550000	7.999451
1.100000	3.001144
1.650000	3.001144
2.200000	3.001144
2.750000	3.001144
3.300000	3.001144
3.850000	3.001144
4.400000	3.001144
4.950000	6.001343
5.500000	6.001343
6.050000	13.000793
6.600000	13.000793
7.150000	3.001144
7.700000	3.001144
8.250000	3.001144
8.800000	3.001144
9.350000	3.001144
9.900000	8.998505
10.450000	8.998505
11.000000	7.999451
11.550000	7.999451
12.100000	7.000397
12.650000	7.000397
13.200000	7.000397
13.750000	7.000397
14.300000	7.000397
14.850000	7.000397
15.400000	7.000397
15.950000	10.000595
16.500000	10.000595
17.050000	10.000595
17.600000	10.000595
18.150000	10.000595
18.700000	10.000595
19.250000	10.000595
19.800000	10.000595
20.350000	7.999451
20.900000	7.999451
21.450000	7.999451
22.000000	7.000397
22.550000	7.000397
23.100000	7.000397
23.650000	7.000397
24.200000	7.000397
24.750000	7.000397
25.300000	7.000397
25.850000	7.000397
26.400000	7.000397
26.950000	7.000397
27.500000	7.000397
28.050000	7.000397
28.600000	7.000397
29.150000	7.000397
29.700000	7.000397
30.250000	7.000397
30.800000	7.000397
31.350000	7.000397
31.900000	7.000397
32.450000	7.000397
33.000000	7.000397
33.550000	7.000397
