This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	10.398169
0.550000	14.343502
1.100000	18.283861
1.650000	23.667028
2.200000	28.124807
2.750000	31.348738
3.300000	33.871162
3.850000	34.557743
4.400000	34.557743
4.950000	32.264175
5.500000	28.751682
6.050000	28.010378
6.600000	27.259123
7.150000	28.279039
7.700000	30.776588
8.250000	33.587578
8.800000	39.627472
9.350000	48.587807
9.900000	58.000885
10.450000	68.209999
11.000000	77.339485
11.550000	85.210258
12.100000	92.762611
12.650000	100.334862
13.200000	107.394676
13.750000	114.892303
14.300000	123.205856
14.850000	131.285583
15.400000	140.151398
15.950000	149.668945
16.500000	159.708908
17.050000	169.485168
17.600000	180.550018
18.150000	188.843674
18.700000	199.361252
19.250000	210.326599
19.800000	221.296906
20.350000	233.237396
20.900000	245.282349
21.450000	257.665619
22.000000	270.242920
22.550000	282.869995
23.100000	296.596558
23.650000	310.144043
24.200000	324.353210
24.750000	339.462891
25.300000	365.861298
25.850000	367.582733
26.400000	385.698608
26.950000	401.718903
27.500000	416.361206
28.050000	429.820129
28.600000	448.477081
29.150000	461.921692
29.700000	475.904694
30.250000	488.202087
30.800000	494.969391
31.350000	497.712524
31.900000	501.168030
32.450000	496.197052
33.000000	490.202606
33.550000	456.816498
