This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	19.000290
0.550000	25.000381
1.100000	32.000488
1.650000	41.000626
2.200000	49.000748
2.750000	53.000809
3.300000	53.000809
3.850000	53.000809
4.400000	53.000809
4.950000	46.000702
5.500000	37.000565
6.050000	37.000565
6.600000	37.000565
7.150000	44.000671
7.700000	53.000809
8.250000	63.000961
8.800000	72.001099
9.350000	79.001205
9.900000	84.001282
10.450000	99.001511
11.000000	112.001709
11.550000	123.001877
12.100000	133.002029
12.650000	142.002167
13.200000	151.002304
13.750000	160.002441
14.300000	170.002594
14.850000	180.002747
15.400000	190.002899
15.950000	201.003067
16.500000	212.003235
17.050000	223.003403
17.600000	234.003571
18.150000	245.003738
18.700000	257.003937
19.250000	268.004089
19.800000	279.004272
20.350000	292.004456
20.900000	304.004639
21.450000	316.004822
22.000000	329.005035
22.550000	341.005219
23.100000	354.005402
23.650000	367.005615
24.200000	380.005798
24.750000	394.006012
25.300000	418.006378
25.850000	420.006409
26.400000	434.006622
26.950000	449.006866
27.500000	465.007111
28.050000	479.007324
28.600000	495.007568
29.150000	512.007812
29.700000	532.008118
30.250000	550.008423
30.800000	563.008606
31.350000	571.008728
31.900000	585.008911
32.450000	588.008972
33.000000	593.009033
33.550000	593.009033
