This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	41.955135
0.550000	41.687912
1.100000	41.414616
1.650000	41.126137
2.200000	40.154411
2.750000	40.117970
3.300000	39.407398
3.850000	38.839546
4.400000	38.490334
4.950000	38.299026
5.500000	38.299026
6.050000	38.299026
6.600000	38.432636
7.150000	38.566250
7.700000	38.769703
8.250000	38.851692
8.800000	38.851692
9.350000	38.730228
9.900000	38.581432
10.450000	38.469078
11.000000	38.426563
11.550000	38.426563
12.100000	38.575359
12.650000	38.684677
13.200000	38.699860
13.750000	38.672531
14.300000	38.633057
14.850000	38.487297
15.400000	38.289913
15.950000	38.128975
16.500000	38.065205
17.050000	37.910336
17.600000	37.934628
18.150000	37.928555
18.700000	37.983215
19.250000	38.016617
19.800000	38.056095
20.350000	38.050022
20.900000	37.998398
21.450000	37.940701
22.000000	37.852638
22.550000	37.749393
23.100000	37.694733
23.650000	37.655258
24.200000	37.591488
24.750000	37.524681
25.300000	37.384998
25.850000	37.339447
26.400000	37.416882
26.950000	37.447247
27.500000	37.407772
28.050000	37.181541
28.600000	37.178505
29.150000	37.208870
29.700000	37.243793
30.250000	37.087406
30.800000	37.585415
31.350000	37.691696
31.900000	37.743320
32.450000	37.804054
33.000000	37.527718
33.550000	36.354057
