This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	17.000046
0.550000	17.000046
1.100000	17.000046
1.650000	17.000046
2.200000	17.000046
2.750000	17.000046
3.300000	17.000046
3.850000	17.000046
4.400000	16.000992
4.950000	17.000046
5.500000	17.000046
6.050000	17.000046
6.600000	17.000046
7.150000	13.999847
7.700000	17.000046
8.250000	17.000046
8.800000	17.000046
9.350000	17.000046
9.900000	17.000046
10.450000	17.000046
11.000000	17.000046
11.550000	17.000046
12.100000	17.000046
12.650000	17.000046
13.200000	17.000046
13.750000	17.000046
14.300000	17.000046
14.850000	17.000046
15.400000	17.000046
15.950000	16.000992
16.500000	10.000595
17.050000	10.000595
17.600000	10.000595
18.150000	11.998703
18.700000	10.999649
19.250000	10.999649
19.800000	10.999649
20.350000	10.999649
20.900000	10.999649
21.450000	10.999649
22.000000	10.999649
22.550000	10.999649
23.100000	10.999649
23.650000	10.999649
24.200000	10.999649
24.750000	10.999649
25.300000	10.999649
25.850000	10.999649
26.400000	10.999649
26.950000	10.999649
27.500000	10.999649
28.050000	10.999649
28.600000	10.999649
29.150000	10.999649
29.700000	10.999649
30.250000	10.999649
30.800000	10.999649
31.350000	10.999649
31.900000	10.999649
32.450000	10.999649
33.000000	10.999649
33.550000	6.001343
