This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	3.000046
0.550000	4.000061
1.100000	5.000076
1.650000	5.000076
2.200000	6.000092
2.750000	6.000092
3.300000	6.000092
3.850000	6.000092
4.400000	6.000092
4.950000	6.000092
5.500000	5.000076
6.050000	5.000076
6.600000	5.000076
7.150000	5.000076
7.700000	6.000092
8.250000	8.000122
8.800000	8.000122
9.350000	10.000153
9.900000	11.000168
10.450000	12.000183
11.000000	13.000198
11.550000	14.000214
12.100000	15.000229
12.650000	17.000259
13.200000	18.000275
13.750000	19.000290
14.300000	20.000305
14.850000	21.000320
15.400000	21.000320
15.950000	24.000366
16.500000	26.000397
17.050000	31.000473
17.600000	31.000473
18.150000	31.000473
18.700000	34.000519
19.250000	35.000534
19.800000	38.000580
20.350000	40.000610
20.900000	42.000641
21.450000	44.000671
22.000000	46.000702
22.550000	49.000748
23.100000	52.000793
23.650000	55.000839
24.200000	58.000885
24.750000	65.000992
25.300000	65.000992
25.850000	65.000992
26.400000	73.001114
26.950000	73.001114
27.500000	75.001144
28.050000	75.001144
28.600000	90.001373
29.150000	92.001404
29.700000	101.001541
30.250000	103.001572
30.800000	106.001617
31.350000	118.001801
31.900000	146.002228
32.450000	151.002304
33.000000	152.002319
33.550000	152.002319
