This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	40.455036
0.550000	40.452000
1.100000	40.452000
1.650000	39.868965
2.200000	38.979233
2.750000	38.979233
3.300000	38.584469
3.850000	38.150230
4.400000	37.688660
4.950000	37.178505
5.500000	37.178505
6.050000	37.178505
6.600000	37.491280
7.150000	37.491280
7.700000	37.491280
8.250000	36.546886
8.800000	35.772541
9.350000	35.374741
9.900000	35.259350
10.450000	35.259350
11.000000	35.259350
11.550000	35.532646
12.100000	36.036728
12.650000	36.401127
13.200000	36.598507
13.750000	36.777668
14.300000	36.993271
14.850000	37.060078
15.400000	36.856621
15.950000	36.686569
16.500000	36.461861
17.050000	36.291809
17.600000	36.170341
18.150000	36.082279
18.700000	36.067097
19.250000	35.869713
19.800000	35.869713
20.350000	35.751286
20.900000	35.663223
21.450000	35.462807
22.000000	35.386890
22.550000	35.301865
23.100000	35.140923
23.650000	35.022491
24.200000	34.901028
24.750000	34.876736
25.300000	34.876736
25.850000	34.876736
26.400000	34.876736
26.950000	34.806892
27.500000	34.806892
28.050000	34.767414
28.600000	34.767414
29.150000	34.767414
29.700000	34.767414
30.250000	34.709721
30.800000	34.709721
31.350000	35.808983
31.900000	35.808983
32.450000	35.745213
33.000000	35.684479
33.550000	35.684479
