This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	128.915955
0.550000	133.601669
1.100000	133.631805
1.650000	133.537369
2.200000	68.924980
2.750000	68.699348
3.300000	41.242977
3.850000	38.719395
4.400000	24.290447
4.950000	21.622618
5.500000	18.581198
6.050000	16.519344
6.600000	14.854239
7.150000	14.201648
7.700000	13.935177
8.250000	13.438218
8.800000	12.765814
9.350000	11.526911
9.900000	10.227425
10.450000	9.283690
11.000000	8.516085
11.550000	7.904870
12.100000	7.189572
12.650000	6.689046
13.200000	6.190189
13.750000	5.709478
14.300000	5.418561
14.850000	5.347274
15.400000	5.364128
15.950000	5.427670
16.500000	5.459101
17.050000	5.580721
17.600000	5.831250
18.150000	6.057637
18.700000	6.264665
19.250000	6.457800
19.800000	7.029917
20.350000	7.410645
20.900000	7.979345
21.450000	8.514642
22.000000	9.170800
22.550000	9.667075
23.100000	10.272292
23.650000	10.280719
24.200000	10.269407
24.750000	9.950628
25.300000	9.425049
25.850000	9.481987
26.400000	9.703762
26.950000	9.717128
27.500000	9.241671
28.050000	8.354009
28.600000	8.439314
29.150000	8.518702
29.700000	8.821940
30.250000	9.000947
30.800000	9.111778
31.350000	9.027238
31.900000	9.797887
32.450000	9.943725
33.000000	10.128392
33.550000	9.637093
