This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	139.441193
0.550000	146.277451
1.100000	146.277451
1.650000	146.216415
2.200000	83.164207
2.750000	83.164207
3.300000	46.709293
3.850000	45.122303
4.400000	30.900463
4.950000	28.352127
5.500000	25.391787
6.050000	22.385668
6.600000	18.479240
7.150000	14.939038
7.700000	14.298140
8.250000	12.817969
8.800000	11.688767
9.350000	10.254375
9.900000	9.155692
10.450000	8.896281
11.000000	8.514794
11.550000	8.469016
12.100000	8.270642
12.650000	7.629744
13.200000	7.355073
13.750000	7.095662
14.300000	7.095662
14.850000	7.294035
15.400000	7.583965
15.950000	7.614484
16.500000	7.629744
17.050000	7.675522
17.600000	7.736560
18.150000	7.873896
18.700000	7.889155
19.250000	8.118048
19.800000	8.743687
20.350000	9.018357
20.900000	10.132299
21.450000	10.788458
22.000000	11.292021
22.550000	11.765065
23.100000	12.848489
23.650000	13.046862
24.200000	13.001083
24.750000	13.001083
25.300000	13.001083
25.850000	13.001083
26.400000	13.306273
26.950000	13.176567
27.500000	11.993958
28.050000	10.757938
28.600000	10.559566
29.150000	10.597713
29.700000	10.857126
30.250000	10.895274
30.800000	11.124166
31.350000	11.124166
31.900000	12.062625
32.450000	12.543299
33.000000	12.970565
33.550000	10.620604
