This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	29.313477
0.550000	31.281950
1.100000	33.204643
1.650000	33.204643
2.200000	33.204643
2.750000	31.281950
3.300000	26.963514
3.850000	26.139502
4.400000	21.073353
4.950000	20.325638
5.500000	17.639967
6.050000	16.266613
6.600000	13.107900
7.150000	11.078388
7.700000	9.262509
8.250000	7.645003
8.800000	6.820991
9.350000	6.439504
9.900000	5.707048
10.450000	4.547328
11.000000	4.318435
11.550000	4.318435
12.100000	4.318435
12.650000	4.791479
13.200000	5.234004
13.750000	5.646010
14.300000	5.890162
14.850000	6.103795
15.400000	6.256390
15.950000	6.439504
16.500000	6.576839
17.050000	6.546320
17.600000	6.500542
18.150000	6.500542
18.700000	6.500542
19.250000	6.637877
19.800000	7.431370
20.350000	7.858636
20.900000	7.767079
21.450000	7.767079
22.000000	7.767079
22.550000	8.209604
23.100000	8.209604
23.650000	8.209604
24.200000	8.209604
24.750000	7.645003
25.300000	7.263516
25.850000	7.263516
26.400000	7.263516
26.950000	7.660263
27.500000	7.660263
28.050000	7.660263
28.600000	8.026490
29.150000	8.163826
29.700000	8.163826
30.250000	10.178079
30.800000	10.208597
31.350000	10.162819
31.900000	10.162819
32.450000	10.162819
33.000000	10.162819
33.550000	10.162819
