This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	16.662979
0.550000	16.662979
1.100000	16.662979
1.650000	16.863398
2.200000	17.179207
2.750000	17.236904
3.300000	17.236904
3.850000	17.236904
4.400000	19.647995
4.950000	20.771551
5.500000	20.771551
6.050000	20.361605
6.600000	18.150932
7.150000	18.150932
7.700000	18.150932
8.250000	18.712709
8.800000	18.773443
9.350000	18.773443
9.900000	17.233868
10.450000	17.233868
11.000000	17.233868
11.550000	17.334076
12.100000	17.592190
12.650000	17.258160
13.200000	17.142767
13.750000	17.142767
14.300000	17.142767
14.850000	17.233868
15.400000	17.309782
15.950000	18.147896
16.500000	18.606428
17.050000	18.743076
17.600000	18.800772
18.150000	18.800772
18.700000	18.925274
19.250000	19.137838
19.800000	18.828102
20.350000	18.828102
20.900000	17.926220
21.450000	16.410938
22.000000	15.475654
22.550000	14.904765
23.100000	14.904765
23.650000	14.904765
24.200000	15.141623
24.750000	16.529367
25.300000	17.160988
25.850000	17.160988
26.400000	16.975752
26.950000	16.975752
27.500000	16.975752
28.050000	17.935329
28.600000	17.324966
29.150000	17.303709
29.700000	17.303709
30.250000	18.636793
30.800000	17.950514
31.350000	17.950514
31.900000	17.950514
32.450000	18.324020
33.000000	18.324020
33.550000	19.365587
