This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	16.562302
0.550000	16.164291
1.100000	15.833448
1.650000	16.472759
2.200000	17.124472
2.750000	17.880701
3.300000	19.154352
3.850000	18.975189
4.400000	18.114492
4.950000	17.164251
5.500000	19.417980
6.050000	19.840858
6.600000	19.587126
7.150000	20.323442
7.700000	21.109509
8.250000	22.268734
8.800000	25.243853
9.350000	25.492617
9.900000	27.268793
10.450000	29.025057
11.000000	28.253887
11.550000	28.333443
12.100000	27.408024
12.650000	23.388029
13.200000	23.333309
13.750000	23.099474
14.300000	30.338184
14.850000	30.193981
15.400000	29.636782
15.950000	29.621840
16.500000	29.084475
17.050000	27.885336
17.600000	36.442505
18.150000	40.457363
18.700000	40.805687
19.250000	39.885342
19.800000	37.119358
20.350000	32.005131
20.900000	31.025173
21.450000	29.721897
22.000000	37.169712
22.550000	35.433376
23.100000	34.304016
23.650000	30.995579
24.200000	29.806591
24.750000	31.254372
25.300000	31.794184
25.850000	31.127558
26.400000	28.761055
26.950000	22.766508
27.500000	17.247940
28.050000	17.096737
28.600000	25.798397
29.150000	54.827335
29.700000	74.751175
30.250000	80.058243
30.800000	81.230247
31.350000	84.935661
31.900000	82.802933
32.450000	65.927094
33.000000	48.433472
33.550000	33.845577
