This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	47.588100
0.550000	47.588100
1.100000	47.588100
1.650000	48.256161
2.200000	48.256161
2.750000	48.256161
3.300000	48.101292
3.850000	47.451450
4.400000	47.275326
4.950000	46.986847
5.500000	46.895748
6.050000	46.743916
6.600000	46.601192
7.150000	46.601192
7.700000	46.601192
8.250000	46.628525
8.800000	46.674072
9.350000	46.674072
9.900000	46.674072
10.450000	46.422031
11.000000	45.829887
11.550000	45.143608
12.100000	44.697220
12.650000	44.487694
13.200000	44.162773
13.750000	43.895550
14.300000	43.570629
14.850000	44.238689
15.400000	44.706329
15.950000	45.137535
16.500000	45.395649
17.050000	45.845070
17.600000	46.261089
18.150000	46.522240
18.700000	46.601192
19.250000	46.601192
19.800000	46.601192
20.350000	46.601192
20.900000	46.835014
21.450000	47.238888
22.000000	47.238888
22.550000	47.238888
23.100000	47.068836
23.650000	46.658890
24.200000	46.264126
24.750000	45.690201
25.300000	44.718479
25.850000	44.718479
26.400000	44.469475
26.950000	44.469475
27.500000	44.469475
28.050000	44.757954
28.600000	45.210415
29.150000	46.145699
29.700000	46.145699
30.250000	46.145699
30.800000	46.103184
31.350000	45.854179
31.900000	45.854179
32.450000	44.903713
33.000000	43.971466
33.550000	41.891369
