This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	32.001038
0.550000	32.001038
1.100000	32.001038
1.650000	32.001038
2.200000	32.001038
2.750000	99.001419
3.300000	99.001419
3.850000	99.001419
4.400000	99.001419
4.950000	62.999039
5.500000	62.999039
6.050000	62.999039
6.600000	62.999039
7.150000	99.001419
7.700000	99.001419
8.250000	99.001419
8.800000	99.001419
9.350000	99.001419
9.900000	99.001419
10.450000	99.001419
11.000000	99.001419
11.550000	99.001419
12.100000	84.000427
12.650000	84.000427
13.200000	84.000427
13.750000	84.000427
14.300000	84.000427
14.850000	93.001022
15.400000	93.001022
15.950000	93.001022
16.500000	91.998932
17.050000	38.001434
17.600000	97.999329
18.150000	97.999329
18.700000	97.999329
19.250000	100.000473
19.800000	100.000473
20.350000	100.000473
20.900000	100.000473
21.450000	100.000473
22.000000	100.000473
22.550000	78.000031
23.100000	78.000031
23.650000	77.000977
24.200000	68.999435
24.750000	68.999435
25.300000	48.001083
25.850000	48.001083
26.400000	48.001083
26.950000	67.001328
27.500000	67.001328
28.050000	67.001328
28.600000	96.001221
29.150000	96.001221
29.700000	96.001221
30.250000	96.001221
30.800000	96.001221
31.350000	96.001221
31.900000	96.001221
32.450000	96.001221
33.000000	96.001221
33.550000	54.001480
