This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	83.001266
0.550000	105.001602
1.100000	127.001938
1.650000	162.002472
2.200000	199.003036
2.750000	233.003555
3.300000	266.004059
3.850000	286.004364
4.400000	291.004456
4.950000	294.004486
5.500000	315.004822
6.050000	325.004974
6.600000	351.005371
7.150000	375.005737
7.700000	434.006622
8.250000	473.007233
8.800000	482.007355
9.350000	482.007355
9.900000	496.007568
10.450000	511.007812
11.000000	546.008362
11.550000	589.008972
12.100000	630.009644
12.650000	660.010071
13.200000	677.010315
13.750000	677.010315
14.300000	677.010315
14.850000	651.009949
15.400000	628.009583
15.950000	599.009155
16.500000	579.008850
17.050000	572.008728
17.600000	572.008728
18.150000	572.008728
18.700000	587.008972
19.250000	619.009460
19.800000	691.010559
20.350000	762.011658
20.900000	794.012146
21.450000	810.012390
22.000000	769.011719
22.550000	747.011414
23.100000	717.010925
23.650000	713.010864
24.200000	713.010864
24.750000	713.010864
25.300000	746.011414
25.850000	746.011414
26.400000	784.011963
26.950000	783.011963
27.500000	757.011536
28.050000	725.011047
28.600000	708.010803
29.150000	664.010132
29.700000	637.009705
30.250000	618.009460
30.800000	579.008850
31.350000	577.008789
31.900000	577.008789
32.450000	577.008789
33.000000	650.009949
33.550000	742.011353
