This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	43.661728
0.550000	43.701202
1.100000	43.701202
1.650000	43.992722
2.200000	43.992722
2.750000	43.883404
3.300000	43.324661
3.850000	41.812416
4.400000	40.506660
4.950000	38.156303
5.500000	37.533791
6.050000	37.054005
6.600000	37.054005
7.150000	37.054005
7.700000	37.955883
8.250000	38.113789
8.800000	38.426563
9.350000	38.815254
9.900000	38.800072
10.450000	38.742374
11.000000	38.371902
11.550000	37.807091
12.100000	37.245312
12.650000	36.756413
13.200000	36.559032
13.750000	36.559032
14.300000	36.559032
14.850000	36.446674
15.400000	36.136940
15.950000	36.136940
16.500000	36.136940
17.050000	36.601543
17.600000	37.873894
18.150000	38.517662
18.700000	38.517662
19.250000	37.995361
19.800000	36.774632
20.350000	35.071079
20.900000	34.727940
21.450000	34.727940
22.000000	34.727940
22.550000	35.408146
23.100000	35.884899
23.650000	36.726048
24.200000	36.726048
24.750000	36.726048
25.300000	36.726048
25.850000	36.726048
26.400000	37.536827
26.950000	37.813164
27.500000	37.813164
28.050000	37.892117
28.600000	40.646347
29.150000	42.037125
29.700000	43.616177
30.250000	44.991776
30.800000	44.991776
31.350000	44.505913
31.900000	43.394505
32.450000	42.422779
33.000000	40.731373
33.550000	40.731373
