This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	7.999451
0.550000	7.999451
1.100000	7.999451
1.650000	7.999451
2.200000	8.998505
2.750000	8.998505
3.300000	7.000397
3.850000	7.000397
4.400000	7.000397
4.950000	8.998505
5.500000	10.000595
6.050000	10.000595
6.600000	6.001343
7.150000	6.001343
7.700000	6.001343
8.250000	6.001343
8.800000	7.999451
9.350000	7.999451
9.900000	7.999451
10.450000	10.000595
11.000000	4.999252
11.550000	4.999252
12.100000	4.999252
12.650000	4.999252
13.200000	4.999252
13.750000	4.999252
14.300000	4.999252
14.850000	4.999252
15.400000	4.999252
15.950000	4.999252
16.500000	6.001343
17.050000	13.000793
17.600000	13.000793
18.150000	13.000793
18.700000	13.000793
19.250000	11.998703
19.800000	11.998703
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	3.001144
23.100000	3.001144
23.650000	4.000198
24.200000	4.000198
24.750000	4.000198
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	3.001144
27.500000	3.001144
28.050000	3.001144
28.600000	3.001144
29.150000	6.001343
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
33.000000	6.001343
33.550000	6.001343
